st,city,population,violent_crime,property_crime,burglary,larceny_theft,motor_vehicle_theft
Alabama,Hoover,85163,129,2457,302,2082,73
Alabama,Hueytown,15745,53,548,90,430,28
Alabama,Huntsville,190106,1541,8743,1761,6219,763
Alabama,Irondale,12469,74,399,89,277,33
Alabama,Jackson,4979,41,205,45,153,7
Alabama,Jacksonville,12173,50,495,116,366,13
Alabama,Jasper,14042,230,1006,126,829,51
Alabama,Kinston,537,2,27,2,22,3
Alabama,Lake View,2096,0,28,6,18,4
Alabama,Lanett,6444,96,533,114,360,59
Alabama,Leeds,11975,68,506,69,404,33
Alabama,Leesburg,1021,5,49,10,35,4
Alabama,Leighton,715,8,33,12,20,1
Alabama,Level Plains,2010,10,73,25,39,9
Alabama,Lincoln,6485,38,369,107,233,29
Alabama,Linden,2014,9,46,22,21,3
Alabama,Lineville,2305,18,26,4,20,2
Alabama,Livingston,3435,14,57,25,29,3
Alabama,Luverne,2846,14,102,22,73,7
Alabama,Madison,47268,149,882,155,678,49
Alabama,Margaret,4526,5,23,7,16,0
Alabama,McIntosh,225,4,26,7,16,3
Alabama,Midfield,5240,55,234,89,132,13
Alabama,Midland City,2411,16,89,22,58,9
Alabama,Millbrook,15297,55,644,133,484,27
Alabama,Mobile,250346,1529,10794,2208,7977,609
Alabama,Monroeville,6118,74,260,49,199,12
Alabama,Montevallo,6675,25,148,27,112,9
Alabama,Montgomery,199139,1042,8363,2342,5280,741
Alabama,Moody,12635,23,225,40,164,21
Alabama,Morris,1926,2,43,7,31,5
Alabama,Moulton,3353,13,48,13,29,6
Alabama,Moundville,2467,6,75,19,49,7
Alabama,Mountain Brook,20801,14,266,38,219,9
Alabama,Mount Vernon,1557,12,34,11,21,2
Alabama,Muscle Shoals,13720,45,670,136,481,53
Alabama,New Brockton,1152,1,17,7,9,1
Alabama,New Hope,2815,3,51,10,35,6
Alabama,Newton,1463,4,32,3,22,7
Alabama,Northport,25032,97,910,167,715,28
Alabama,Notasulga,844,12,36,14,19,3
Alabama,Odenville,3709,15,51,21,27,3
Alabama,Oneonta,6642,24,207,29,158,20
Alabama,Opelika,29888,206,1502,251,1174,77
Alabama,Owens Crossroads,1826,2,21,5,15,1
Alabama,Oxford,21113,71,894,144,720,30
Alabama,Pelham,22997,33,474,54,398,22
Alabama,Phenix City,38723,286,1832,472,1144,216
Alabama,Piedmont,4703,33,258,72,168,18
Alabama,Pine Hill,911,9,40,10,27,3
Alabama,Pleasant Grove,10382,25,144,31,110,3
Alabama,Powell,958,1,24,2,17,5
Alabama,Prattville,35637,84,1135,130,928,77
Alabama,Priceville,3166,2,36,9,20,7
Alabama,Prichard,22236,336,997,347,526,124
Alabama,Rainbow City,9603,16,201,55,129,17
Alabama,Rainsville,5026,10,167,46,107,14
Alabama,Red Bay,3117,5,74,12,56,6
Alabama,Reform,1624,5,19,6,12,1
Alabama,Riverside,2320,4,82,20,58,4
Alabama,Robertsdale,5895,21,297,42,242,13
Alabama,Rogersville,1237,5,34,4,27,3
Alabama,Russellville,9795,41,399,62,320,17
Alabama,Samson,1919,12,95,19,69,7
Alabama,Saraland,13778,33,452,47,371,34
Alabama,Sardis City,1750,2,27,6,17,4
Alabama,Satsuma,6169,15,120,24,85,11
Alabama,Scottsboro,14742,200,538,97,418,23
Alabama,Sheffield,9170,62,411,130,254,27
Alabama,Silverhill,766,4,29,3,23,3
Alabama,Snead,845,2,44,8,33,3
Alabama,Southside,8583,11,126,29,86,11
Alabama,Spanish Fort,8039,13,276,12,257,7
Alabama,Springville,4223,7,109,15,91,3
Alabama,Sulligent,1858,5,47,16,29,2
Alabama,Sumiton,2401,3,33,7,25,1
Alabama,Summerdale,1033,4,60,9,42,9
Alabama,Sylacauga,12672,55,682,123,536,23
Alabama,Talladega,16006,122,1007,291,665,51
Alabama,Tallassee,4801,57,340,72,247,21
Alabama,Tarrant,6225,108,507,168,296,43
Alabama,Thomasville,4062,16,113,13,87,13
Alabama,Trinity,2156,4,39,8,26,5
Alabama,Troy,19377,169,853,139,658,56
Alabama,Tuscaloosa,97511,560,4210,1132,2892,186
Alabama,Tuscumbia,8513,25,217,48,153,16
Alabama,Tuskegee,8790,86,362,129,191,42
Alabama,Union Springs,3923,35,120,47,60,13
Alabama,Uniontown,2421,12,42,12,22,8
Alabama,Valley,9451,73,505,98,357,50
Alabama,Vance,1523,2,29,8,16,5
Alabama,Vestavia Hills,34143,22,422,102,302,18
Alabama,Warrior,3194,16,82,13,55,14
Alabama,Weaver,3090,29,143,52,88,3
Alabama,Wedowee,800,6,30,4,25,1
Alabama,Wetumpka,7921,24,359,47,306,6
Alabama,Winfield,4576,11,176,51,112,13
Alabama,Woodstock,1524,2,43,9,26,8
Alabama,York,2375,7,39,13,24,2
Arizona,Apache Junction,38519,96,1282,352,836,94
Arizona,Avondale,80533,279,3096,528,2351,217
Arizona,Buckeye,61726,28,1103,189,855,59
Arizona,Bullhead City,39319,89,1306,253,963,90
Arizona,Camp Verde,11155,48,303,68,219,16
Arizona,Casa Grande,51918,244,1802,304,1413,85
Arizona,Chandler,258875,490,5393,770,4367,256
Arizona,Clarkdale,4184,14,67,16,50,1
Arizona,Coolidge,12244,59,587,97,464,26
Arizona,Cottonwood,11678,34,423,46,353,24
Arizona,Eagar,4914,8,72,20,48,4
Arizona,El Mirage,33985,81,1096,282,731,83
Arizona,Eloy,16678,89,457,97,331,29
Arizona,Flagstaff,69471,260,2654,180,2418,56
Arizona,Florence,26926,34,174,34,128,12
Arizona,Fredonia,1315,3,7,4,3,0
Arizona,Gilbert,247324,177,3267,530,2600,137
Arizona,Glendale,240374,943,12955,1986,9920,1049
Arizona,Globe,7333,75,569,89,454,26
Arizona,Goodyear,78447,143,1784,378,1301,105
Arizona,Holbrook,5007,38,260,48,192,20
Arizona,Jerome,453,1,22,3,19,0
Arizona,Kearny,2024,0,21,8,11,2
Arizona,Kingman,28651,77,1443,207,1167,69
Arizona,Lake Havasu City,53220,93,987,216,728,43
Arizona,Mammoth,1476,1,14,2,11,1
Arizona,Marana,41302,30,973,69,867,37
Arizona,Maricopa,48193,83,600,94,473,33
Arizona,Mesa,471034,1972,11905,2219,8861,825
Arizona,Miami,1771,19,87,42,43,2
Arizona,Nogales,20312,20,551,87,374,90
Arizona,Oro Valley,42258,27,583,79,481,23
Arizona,Page,7469,50,341,38,294,9
Arizona,Paradise Valley,13886,16,208,75,126,7
Arizona,Patagonia,895,2,9,3,6,0
Arizona,Payson,15228,39,412,77,319,16
Arizona,Peoria,170222,283,3368,647,2516,205
Arizona,Phoenix,1559744,9261,54456,12798,34288,7370
Arizona,Pima,2502,5,40,10,26,4
Arizona,Pinetop-Lakeside,4323,50,190,19,166,5
Arizona,Prescott,41393,137,1061,140,884,37
Arizona,Prescott Valley,41661,97,1041,102,900,39
Arizona,Quartzsite,3598,27,149,65,80,4
Arizona,Safford,9797,37,424,64,341,19
Arizona,Sahuarita,28067,13,339,44,277,18
Arizona,San Luis,31807,54,413,118,242,53
Arizona,Scottsdale,233872,434,5332,829,4311,192
Arizona,Sedona,10340,14,141,25,112,4
Arizona,Show Low,10878,21,532,50,469,13
Arizona,Sierra Vista,43452,107,1262,181,1032,49
Arizona,Snowflake-Taylor,9805,28,140,42,93,5
Arizona,Somerton,15061,22,211,51,128,32
Arizona,South Tucson,5749,99,905,46,837,22
Arizona,Springerville,1965,4,37,12,23,2
Arizona,Surprise,128525,168,2182,410,1667,105
Arizona,Tempe,175556,721,7642,1108,6175,359
Arizona,Thatcher,5065,3,105,8,97,0
Arizona,Tolleson,7029,39,669,219,399,51
Arizona,Tucson,529675,3472,35185,3664,29592,1929
Arizona,Wellton,2973,15,31,11,20,0
Arizona,Wickenburg,6760,14,187,69,100,18
Arizona,Willcox,3569,83,234,6,212,16
Arizona,Williams,3110,20,113,21,92,0
Arizona,Winslow,9580,68,277,33,232,12
Arizona,Yuma,93923,453,2925,682,1984,259
Arkansas,Alma,5581,24,264,35,223,6
Arkansas,Altus,731,3,14,4,10,0
Arkansas,Arkadelphia,10637,53,294,77,210,7
Arkansas,Ashdown,4453,8,144,29,102,13
Arkansas,Ash Flat,1059,2,17,5,11,1
Arkansas,Atkins,3055,19,89,18,68,3
Arkansas,Augusta,2084,5,52,19,33,0
Arkansas,Austin,3407,8,51,19,31,1
Arkansas,Bald Knob,2890,8,88,15,71,2
Arkansas,Barling,4725,29,113,16,89,8
Arkansas,Bay,1794,3,14,5,7,2
Arkansas,Bearden,904,0,34,14,19,1
Arkansas,Beebe,8138,27,242,46,184,12
Arkansas,Bella Vista,27970,72,216,37,171,8
Arkansas,Benton,34356,131,1196,214,916,66
Arkansas,Bentonville,43190,92,797,101,671,25
Arkansas,Berryville,5394,15,225,76,138,11
Arkansas,Bethel Heights,2497,3,44,10,31,3
Arkansas,Blytheville,14717,280,1023,511,497,15
Arkansas,Bono,2166,5,43,9,34,0
Arkansas,Booneville,3924,18,143,28,113,2
Arkansas,Bradford,755,2,21,4,16,1
Arkansas,Brinkley,2909,35,128,37,87,4
Arkansas,Brookland,3499,12,41,7,34,0
Arkansas,Bryant,20404,16,875,230,610,35
Arkansas,Bull Shoals,1951,2,20,10,9,1
Arkansas,Cabot,26064,47,520,114,389,17
Arkansas,Caddo Valley,606,2,40,9,30,1
Arkansas,Camden,11423,117,501,149,339,13
Arkansas,Cammack Village,750,0,12,4,8,0
Arkansas,Caraway,1259,1,19,5,14,0
Arkansas,Carlisle,2198,7,61,13,44,4
Arkansas,Cave City,1860,4,22,3,17,2
Arkansas,Cave Springs,2672,8,25,6,19,0
Arkansas,Centerton,11635,36,90,9,76,5
Arkansas,Charleston,2494,9,41,10,30,1
Arkansas,Cherokee Village,4568,3,68,29,35,4
Arkansas,Clarendon,1514,2,34,7,23,4
Arkansas,Clarksville,9443,29,457,33,402,22
Arkansas,Clinton,2537,6,47,8,30,9
Arkansas,Conway,65764,312,3051,396,2494,161
Arkansas,Corning,3113,12,31,7,23,1
Arkansas,Cotter,941,2,22,4,18,0
Arkansas,Crossett,5192,23,261,112,144,5
Arkansas,Damascus,382,0,8,0,8,0
Arkansas,Danville,2368,2,16,7,7,2
Arkansas,Dardanelle,4702,24,112,41,64,7
Arkansas,Decatur,1781,7,48,13,35,0
Arkansas,Dell,208,0,2,1,1,0
Arkansas,De Queen,6781,15,164,42,119,3
Arkansas,Dermott,2722,8,24,21,3,0
Arkansas,Des Arc,1620,3,20,9,9,2
Arkansas,De Witt,3197,30,155,46,108,1
Arkansas,Dierks,1101,1,4,4,0,0
Arkansas,Dover,1401,3,34,7,26,1
Arkansas,Dumas,4370,21,86,29,54,3
Arkansas,Dyer,857,5,24,5,19,0
Arkansas,Earle,2298,24,67,25,36,6
Arkansas,El Dorado,18229,172,931,402,493,36
Arkansas,Elkins,2949,3,27,9,18,0
Arkansas,England,2775,33,106,34,70,2
Arkansas,Etowah,329,0,5,2,3,0
Arkansas,Eudora,2105,7,70,23,44,3
Arkansas,Eureka Springs,2088,8,87,29,56,2
Arkansas,Fairfield Bay,2265,9,85,33,49,3
Arkansas,Farmington,6603,9,110,15,88,7
Arkansas,Fayetteville,82377,409,3641,426,2854,361
Arkansas,Flippin,1349,5,41,4,36,1
Arkansas,Fordyce,4067,52,167,45,113,9
Arkansas,Fort Smith,87603,704,5162,953,3990,219
Arkansas,Gassville,2132,2,92,10,80,2
Arkansas,Gentry,3417,15,39,12,27,0
Arkansas,Glenwood,2168,5,49,20,27,2
Arkansas,Gosnell,3307,25,96,35,60,1
Arkansas,Gravette,3245,13,33,10,22,1
Arkansas,Greenbrier,5339,1,13,0,6,7
Arkansas,Green Forest,2777,19,56,7,44,5
Arkansas,Greenland,1397,3,14,5,9,0
Arkansas,Greenwood,9310,15,55,22,31,2
Arkansas,Greers Ferry,875,2,17,4,12,1
Arkansas,Gurdon,2136,21,48,15,32,1
Arkansas,Guy,721,0,5,2,3,0
Arkansas,Hamburg,2790,21,38,16,22,0
Arkansas,Hampton,1267,6,30,12,16,2
Arkansas,Hardy,756,2,21,6,13,2
Arkansas,Harrisburg,2323,14,93,26,62,5
Arkansas,Harrison,13179,98,754,194,524,36
Arkansas,Hazen,1388,2,14,6,8,0
Arkansas,Heber Springs,7164,13,272,62,193,17
Arkansas,Helena-West Helena,11101,166,615,205,377,33
Arkansas,Higginson,648,0,8,3,5,0
Arkansas,Highfill,638,4,1,0,1,0
Arkansas,Highland,1051,0,21,1,20,0
Arkansas,Hope,9986,84,574,112,436,26
Arkansas,Hoxie,2693,8,13,5,7,1
Arkansas,Jacksonville,28902,218,1395,343,985,67
Arkansas,Johnson,3654,2,92,35,34,23
Arkansas,Jonesboro,73404,392,2944,671,2182,91
Arkansas,Judsonia,2018,4,24,8,14,2
Arkansas,Kensett,1645,4,33,6,26,1
Arkansas,Lake City,2295,6,17,7,10,0
Arkansas,Lakeview,717,1,13,2,10,1
Arkansas,Lake Village,2417,11,96,24,70,2
Arkansas,Lamar,1671,8,22,11,11,0
Arkansas,Lavaca,2400,9,30,3,26,1
Arkansas,Leachville,1867,5,29,7,19,3
Arkansas,Lepanto,1844,3,42,12,28,2
Arkansas,Lewisville,1181,6,35,9,23,3
Arkansas,Lincoln,2454,13,51,14,34,3
Arkansas,Little Flock,2750,5,5,2,2,1
Arkansas,Little Rock,198647,2950,12855,2349,9590,916
Arkansas,Lonoke,4262,13,126,17,109,0
Arkansas,Lowell,8602,22,180,52,119,9
Arkansas,Luxora,1103,3,6,0,6,0
Arkansas,Magnolia,11414,47,346,192,141,13
Arkansas,Marianna,3815,31,131,45,81,5
Arkansas,Marion,12301,95,498,117,360,21
Arkansas,Marmaduke,1231,5,39,27,12,0
Arkansas,Marvell,1049,1,15,10,5,0
Arkansas,Maumelle,17943,28,458,78,367,13
Arkansas,Mayflower,2374,6,78,21,50,7
Arkansas,McGehee,3980,22,127,36,84,7
Arkansas,McRae,677,1,4,2,2,0
Arkansas,Mena,5639,13,241,27,211,3
Arkansas,Monticello,9712,37,321,63,250,8
Arkansas,Morrilton,6744,20,410,43,353,14
Arkansas,Mountain Home,12233,30,569,54,501,14
Arkansas,Mountain View,2862,17,76,21,51,4
Arkansas,Mulberry,1618,10,83,25,55,3
Arkansas,Murfreesboro,1599,2,27,11,16,0
Arkansas,Nashville,4526,14,167,24,142,1
Arkansas,Newport,7744,63,523,168,347,8
Arkansas,Norfolk,495,0,7,1,4,2
Arkansas,North Little Rock,67943,526,3229,596,2345,288
Arkansas,Ola,1260,1,18,5,12,1
Arkansas,Osceola,7222,149,280,79,184,17
Arkansas,Ozark,3597,20,112,27,79,6
Arkansas,Pangburn,597,3,13,1,11,1
Arkansas,Paragould,27791,178,1502,259,1174,69
Arkansas,Paris,3460,20,144,46,88,10
Arkansas,Parkin,1044,2,28,6,17,5
Arkansas,Pea Ridge,5195,23,110,39,70,1
Arkansas,Perryville,1433,4,54,10,42,2
Arkansas,Piggott,3614,14,92,37,52,3
Arkansas,Pine Bluff,44466,569,2767,921,1679,167
Arkansas,Plainview,604,0,7,2,4,1
Arkansas,Plummerville,806,3,17,2,15,0
Arkansas,Pocahontas,6442,18,338,52,271,15
Arkansas,Pottsville,3122,17,33,8,20,5
Arkansas,Prairie Grove,5077,14,106,24,78,4
Arkansas,Quitman,746,2,38,1,37,0
Arkansas,Ravenden,454,0,3,2,1,0
Arkansas,Redfield,1588,0,11,3,8,0
Arkansas,Rison,1295,6,22,13,8,1
Arkansas,Rogers,62819,276,2077,258,1743,76
Arkansas,Rose Bud,479,1,5,0,5,0
Arkansas,Russellville,29197,148,1133,186,853,94
Arkansas,Salem,1621,2,29,5,23,1
Arkansas,Shannon Hills,3815,5,40,13,24,3
Arkansas,Sheridan,4903,18,191,24,156,11
Arkansas,Sherwood,30572,140,1181,196,910,75
Arkansas,Siloam Springs,16158,62,500,110,370,20
Arkansas,Stamps,1554,5,18,9,8,1
Arkansas,Star City,2208,9,72,27,42,3
Arkansas,St. Charles,224,0,0,0,0,0
Arkansas,Stuttgart,9084,96,454,140,287,27
Arkansas,Swifton,763,3,4,2,2,0
Arkansas,Texarkana,30026,196,1717,289,1331,97
Arkansas,Trumann,7179,57,598,137,444,17
Arkansas,Tuckerman,1773,1,10,1,9,0
Arkansas,Tyronza,751,1,2,0,2,0
Arkansas,Van Buren,23132,99,835,227,576,32
Arkansas,Vilonia,4469,12,84,30,51,3
Arkansas,Waldron,3404,16,135,38,93,4
Arkansas,Walnut Ridge,4695,12,75,23,49,3
Arkansas,Ward,4747,44,109,41,64,4
Arkansas,Warren,5789,23,97,50,39,8
Arkansas,Weiner,692,0,3,1,1,1
Arkansas,West Fork,2552,8,20,2,17,1
Arkansas,West Memphis,25218,423,1373,367,911,95
Arkansas,White Hall,5174,4,61,15,42,4
Arkansas,Wynne,8098,76,489,150,327,12
California,Adelanto,33005,212,808,434,254,120
California,Agoura Hills,20970,15,310,82,217,11
California,Alameda,78613,148,1819,228,1245,346
California,Albany,19723,34,605,95,447,63
California,Alhambra,86175,168,1929,305,1413,211
California,Aliso Viejo,50751,32,363,53,276,34
California,Alturas,2566,35,61,9,48,4
California,American Canyon,20687,58,634,97,493,44
California,Anaheim,349471,1271,10038,1476,6893,1669
California,Anderson,10277,88,474,60,358,56
California,Antioch,110537,771,3912,862,2026,1024
California,Apple Valley,72173,234,1878,427,1187,264
California,Arcadia,58694,68,1272,316,892,64
California,Arcata,17789,54,670,160,443,67
California,Arroyo Grande,18071,35,418,83,299,36
California,Artesia,16988,84,468,99,258,111
California,Arvin,20902,149,457,143,201,113
California,Atascadero,29316,90,475,119,323,33
California,Atherton,7205,3,86,30,54,2
California,Atwater,29219,197,1099,167,757,175
California,Auburn,14118,45,260,56,178,26
California,Avalon,3820,12,56,12,39,5
California,Avenal,12859,25,196,58,118,20
California,Azusa,49431,173,1212,232,784,196
California,Bakersfield,373887,1810,15559,3877,9288,2394
California,Baldwin Park,77538,299,1442,243,868,331
California,Banning,31030,197,608,248,221,139
California,Barstow,23700,283,1037,447,408,182
California,Bear Valley,5428,5,67,4,63,0
California,Beaumont,43626,138,887,157,582,148
California,Bell,36395,221,772,194,443,135
California,Bellflower,78635,373,1825,452,816,557
California,Bell Gardens,43411,137,782,91,392,299
California,Belmont,27377,26,447,65,341,41
California,Belvedere,2144,0,29,3,25,1
California,Benicia,28159,29,512,112,338,62
California,Berkeley,120387,530,5906,1090,4099,717
California,Beverly Hills,35054,99,1236,234,930,72
California,Big Bear Lake,5209,54,248,75,157,16
California,Biggs,1712,24,28,5,14,9
California,Bishop,3833,38,105,12,85,8
California,Blythe,18961,90,847,293,529,25
California,Bradbury,1097,1,10,6,3,1
California,Brawley,26023,146,958,260,654,44
California,Brea,42043,80,1257,153,1035,69
California,Brentwood,58398,110,1288,158,985,145
California,Brisbane,4696,9,92,36,49,7
California,Broadmoor,4382,16,80,35,29,16
California,Buellton,5097,4,54,15,39,0
California,Buena Park,83684,237,2549,332,1831,386
California,Burbank,105865,159,2656,297,2136,223
California,Burlingame,30672,45,948,192,626,130
California,Calabasas,24505,15,272,57,201,14
California,Calexico,40085,169,1567,367,911,289
California,California City,13218,121,516,270,218,28
California,Calimesa,8553,17,291,71,186,34
California,Calistoga,5338,11,81,10,64,7
California,Camarillo,67325,114,1116,217,840,59
California,Campbell,41544,88,1393,247,1004,142
California,Canyon Lake,11112,7,93,18,59,16
California,Capitola,10201,28,658,41,585,32
California,Carlsbad,113972,172,2134,366,1627,141
California,Carmel,3913,10,114,28,79,7
California,Carpinteria,13829,11,206,45,147,14
California,Carson,93677,433,2146,469,1282,395
California,Cathedral City,53947,117,1152,327,505,320
California,Central Marin,35272,40,757,282,417,58
California,Ceres,47693,122,1606,232,920,454
California,Cerritos,50238,91,1899,354,1324,221
California,Chico,89949,317,3634,642,2591,401
California,Chino,86344,221,2138,375,1501,262
California,Chino Hills,77515,70,1073,216,761,96
California,Chowchilla,18978,74,329,91,197,41
California,Chula Vista,265215,705,4619,710,3093,816
California,Citrus Heights,86853,385,2586,375,1942,269
California,City of Angels,3738,17,57,9,37,11
California,Claremont,36331,64,985,249,674,62
California,Clayton,11879,11,150,26,105,19
California,Clearlake,15044,117,614,223,302,89
California,Cloverdale,8839,15,119,22,87,10
California,Clovis,103769,239,3083,420,2454,209
California,Coachella,44953,153,1238,200,802,236
California,Coalinga,16073,105,316,85,204,27
California,Colma,1531,12,275,41,208,26
California,Colton,54503,185,1715,361,889,465
California,Colusa,5937,6,127,43,71,13
California,Commerce,13137,93,1247,100,798,349
California,Compton,99125,988,2410,496,1147,767
California,Concord,128767,491,4618,594,3068,956
California,Corcoran,22435,104,398,107,212,79
California,Corning,7527,44,254,74,155,25
California,Corona,163633,212,3727,615,2646,466
California,Coronado,25138,26,379,55,307,17
California,Costa Mesa,113477,386,4723,698,3558,467
California,Cotati,7469,32,108,32,61,15
California,Covina,49300,108,1129,238,753,138
California,Crescent City,6599,41,152,50,90,12
California,Cudahy,24410,78,307,48,177,82
California,Culver City,39890,156,1919,214,1598,107
California,Cupertino,61162,63,935,293,583,59
California,Cypress,49560,56,889,146,646,97
California,Daly City,107320,234,1778,320,1200,258
California,Dana Point,34312,57,589,120,417,52
California,Danville,44401,16,490,114,350,26
California,Davis,67034,95,1718,281,1332,105
California,Delano,52534,219,1376,267,748,361
California,Del Mar,4346,10,176,47,122,7
California,Del Rey Oaks,1696,5,35,7,26,2
California,Desert Hot Springs,28416,232,1110,459,311,340
California,Diamond Bar,57085,58,804,280,427,97
California,Dinuba,24223,175,816,163,536,117
California,Dixon,19357,54,458,77,340,41
California,Dorris,894,5,27,6,18,3
California,Dos Palos,5112,50,131,51,64,16
California,Downey,114754,335,2892,514,1586,792
California,Duarte,22171,72,367,68,233,66
California,Dublin,57148,68,997,115,758,124
California,Dunsmuir,1557,2,23,9,10,4
California,East Palo Alto,29864,181,652,126,394,132
California,Eastvale,57808,40,904,92,702,110
California,El Cajon,103942,360,2267,387,1517,363
California,El Centro,44033,164,2667,493,1983,191
California,El Cerrito,24842,97,1231,211,899,121
California,Elk Grove,166183,586,3120,589,2294,237
California,El Monte,117376,400,2132,461,991,680
California,El Segundo,17164,41,621,147,426,48
California,Emeryville,11549,153,1997,120,1729,148
California,Encinitas,62909,126,986,186,712,88
California,Escalon,7449,11,167,37,117,13
California,Escondido,151732,529,3393,479,2308,606
California,Etna,705,1,4,0,3,1
California,Eureka,26858,166,1801,335,1272,194
California,Exeter,10611,26,349,118,197,34
California,Fairfax,7686,13,104,19,79,6
California,Fairfield,112582,486,3429,456,2406,567
California,Farmersville,10835,32,162,41,99,22
California,Ferndale,1362,1,12,4,7,1
California,Fillmore,15519,82,142,40,80,22
California,Firebaugh,8484,53,97,23,64,10
California,Folsom,76183,71,1185,210,899,76
California,Fontana,206982,804,4269,764,2474,1031
California,Fort Bragg,7310,33,257,30,210,17
California,Fort Jones,680,2,11,6,5,0
California,Fortuna,11876,36,571,89,445,37
California,Foster City,33313,20,302,80,197,25
California,Fountain Valley,57392,66,1517,268,1120,129
California,Fowler,6144,46,135,46,59,30
California,Fremont,232427,337,4371,913,2755,703
California,Fresno,520837,2871,21606,4429,14184,2993
California,Fullerton,140771,389,3893,468,2958,467
California,Galt,25106,70,606,94,461,51
California,Gardena,60782,301,1519,319,841,359
California,Garden Grove,176041,504,4433,885,2899,649
California,Gilroy,53467,192,1777,262,1228,287
California,Glendale,202298,195,3513,530,2630,353
California,Glendora,51753,55,1336,183,1093,60
California,Goleta,31011,47,449,110,305,34
California,Gonzales,8507,39,121,32,56,33
California,Grand Terrace,12502,27,276,74,150,52
