geoid,county,st,pct_travel_60_min,pct_bach_higher,pct_masters_higher,med_hh_inc
0500000US01131,Wilcox County,Alabama,9.726,12.488,4.433,23750
0500000US01133,Winston County,Alabama,12.704,11.391,4.556,33194
0500000US02013,Aleutians East Borough,Alaska,0.000,14.048,1.905,61518
0500000US02016,Aleutians West Census Area,Alaska,0.028,14.739,4.427,84306
0500000US02020,Anchorage Municipality,Alaska,3.031,33.196,12.255,78326
0500000US02050,Bethel Census Area,Alaska,0.277,11.648,4.087,51012
0500000US02060,Bristol Bay Borough,Alaska,0.391,20.031,6.471,79750
0500000US02068,Denali Borough,Alaska,5.432,33.333,8.966,81544
0500000US02070,Dillingham Census Area,Alaska,0.119,16.225,5.338,54173
0500000US02090,Fairbanks North Star Borough,Alaska,2.644,31.743,12.057,71068
0500000US02100,Haines Borough,Alaska,0.773,35.626,11.634,58750
0500000US02105,Hoonah-Angoon Census Area,Alaska,0.967,26.625,8.793,52419
0500000US02110,Juneau City and Borough,Alaska,1.594,38.524,14.028,85746
0500000US02122,Kenai Peninsula Borough,Alaska,4.159,22.781,8.261,63684
0500000US02130,Ketchikan Gateway Borough,Alaska,0.961,23.788,8.069,64222
0500000US02150,Kodiak Island Borough,Alaska,1.518,24.684,6.514,70887
0500000US02158,Kusilvak Census Area,Alaska,0.052,5.003,1.406,38229
0500000US02164,Lake and Peninsula Borough,Alaska,0.966,12.937,4.662,50781
0500000US02170,Matanuska-Susitna Borough,Alaska,22.381,20.740,7.078,72983
0500000US02180,Nome Census Area,Alaska,0.390,14.079,3.821,48868
0500000US02185,North Slope Borough,Alaska,1.310,13.942,3.549,72576
0500000US02188,Northwest Arctic Borough,Alaska,0.924,10.609,3.752,63648
0500000US02195,Petersburg Borough,Alaska,1.965,25.322,6.262,67935
0500000US02198,Prince of Wales-Hyder Census Area,Alaska,6.788,15.512,5.279,48523
0500000US02220,Sitka City and Borough,Alaska,3.692,31.168,12.457,70376
0500000US02230,Skagway Municipality,Alaska,0.326,35.859,9.091,69318
0500000US02240,Southeast Fairbanks Census Area,Alaska,2.593,17.910,5.820,62670
0500000US02261,Valdez-Cordova Census Area,Alaska,1.437,28.684,9.029,78810
0500000US02275,Wrangell City and Borough,Alaska,1.454,19.857,5.446,48603
0500000US02282,Yakutat City and Borough,Alaska,0.602,15.297,3.425,72500
0500000US02290,Yukon-Koyukuk Census Area,Alaska,2.529,11.177,3.810,38491
0500000US04001,Apache County,Arizona,14.712,10.775,3.922,31757
0500000US04003,Cochise County,Arizona,4.953,22.872,8.355,45075
0500000US04005,Coconino County,Arizona,6.242,33.606,14.102,50234
0500000US04007,Gila County,Arizona,9.356,16.712,6.980,39751
0500000US04009,Graham County,Arizona,10.903,13.205,5.108,45964
0500000US04011,Greenlee County,Arizona,7.141,10.783,2.585,51628
0500000US04012,La Paz County,Arizona,1.663,9.943,3.521,34466
0500000US04013,Maricopa County,Arizona,5.737,30.449,10.991,54229
0500000US04015,Mohave County,Arizona,5.837,11.819,4.199,38488
0500000US04017,Navajo County,Arizona,8.947,14.736,5.750,35921
0500000US04019,Pima County,Arizona,4.737,30.281,12.612,46162
0500000US04021,Pinal County,Arizona,11.833,17.984,6.250,49477
0500000US04023,Santa Cruz County,Arizona,6.408,22.025,7.456,40140
0500000US04025,Yavapai County,Arizona,6.406,25.639,9.563,44748
0500000US04027,Yuma County,Arizona,3.339,14.366,5.000,40743
0500000US05001,Arkansas County,Arkansas,3.133,12.435,4.125,36411
0500000US05003,Ashley County,Arkansas,6.081,13.205,4.233,34263
0500000US05005,Baxter County,Arkansas,2.224,17.873,4.815,35396
0500000US05007,Benton County,Arkansas,2.361,30.165,10.303,56239
0500000US05009,Boone County,Arkansas,5.286,14.736,5.390,39251
0500000US05011,Bradley County,Arkansas,9.226,12.982,3.752,33701
0500000US05013,Calhoun County,Arkansas,8.377,10.412,3.158,36899
0500000US05015,Carroll County,Arkansas,6.400,16.714,6.225,36897
0500000US05017,Chicot County,Arkansas,4.422,11.056,3.071,28913
0500000US05019,Clark County,Arkansas,9.851,23.881,9.763,35031
0500000US05021,Clay County,Arkansas,6.818,10.969,3.443,32552
0500000US05023,Cleburne County,Arkansas,10.945,16.791,6.152,42905
0500000US05025,Cleveland County,Arkansas,9.185,15.351,4.517,43158
0500000US05027,Columbia County,Arkansas,4.615,20.025,6.697,36619
0500000US05029,Conway County,Arkansas,10.238,16.474,5.386,37732
0500000US05031,Craighead County,Arkansas,4.387,25.419,9.366,42475
0500000US05033,Crawford County,Arkansas,3.916,14.510,4.361,41268
0500000US05035,Crittenden County,Arkansas,4.096,16.408,4.731,38004
0500000US05037,Cross County,Arkansas,12.095,13.724,4.659,38103
0500000US05039,Dallas County,Arkansas,10.241,13.070,3.634,34084
0500000US05041,Desha County,Arkansas,3.879,11.915,4.436,27197
0500000US05043,Drew County,Arkansas,8.371,20.481,6.856,32819
0500000US05045,Faulkner County,Arkansas,6.978,28.313,10.314,51223
0500000US05047,Franklin County,Arkansas,6.963,12.307,4.350,39285
0500000US05049,Fulton County,Arkansas,10.878,10.643,3.355,37066
0500000US05051,Garland County,Arkansas,6.502,21.374,8.205,38733
0500000US05053,Grant County,Arkansas,11.731,17.096,5.712,46171
0500000US05055,Greene County,Arkansas,6.085,15.359,5.119,41286
0500000US05057,Hempstead County,Arkansas,5.470,12.181,4.495,32122
0500000US05059,Hot Spring County,Arkansas,7.891,13.014,4.507,40000
0500000US05061,Howard County,Arkansas,7.718,15.131,5.670,34229
0500000US05063,Independence County,Arkansas,4.863,15.863,5.439,36265
0500000US05065,Izard County,Arkansas,6.978,12.667,4.557,32630
0500000US05067,Jackson County,Arkansas,4.970,8.807,2.668,31261
0500000US05069,Jefferson County,Arkansas,5.195,17.521,5.992,36747
0500000US05071,Johnson County,Arkansas,6.421,17.057,5.537,34139
0500000US05073,Lafayette County,Arkansas,6.355,11.818,2.426,31194
0500000US05075,Lawrence County,Arkansas,7.385,12.870,4.542,32379
0500000US05077,Lee County,Arkansas,4.488,7.871,2.380,28393
0500000US05079,Lincoln County,Arkansas,6.833,8.873,2.350,32580
0500000US05081,Little River County,Arkansas,5.092,10.011,2.863,36205
0500000US05083,Logan County,Arkansas,12.455,12.623,2.756,35325
0500000US05085,Lonoke County,Arkansas,5.150,19.130,5.431,53631
0500000US05087,Madison County,Arkansas,15.314,10.738,3.647,37691
0500000US05089,Marion County,Arkansas,4.259,13.227,4.147,34195
0500000US05091,Miller County,Arkansas,3.756,14.293,4.251,40317
0500000US05093,Mississippi County,Arkansas,4.222,13.163,4.934,34612
0500000US05095,Monroe County,Arkansas,5.908,9.381,1.681,27647
0500000US05097,Montgomery County,Arkansas,12.344,12.303,4.448,33037
0500000US05099,Nevada County,Arkansas,8.200,14.125,4.161,30691
0500000US05101,Newton County,Arkansas,16.152,14.551,4.895,34536
0500000US05103,Ouachita County,Arkansas,6.688,16.053,5.821,31293
0500000US05105,Perry County,Arkansas,17.540,11.519,4.602,42346
0500000US05107,Phillips County,Arkansas,7.967,10.795,3.601,26844
0500000US05109,Pike County,Arkansas,9.757,14.584,6.138,33097
0500000US05111,Poinsett County,Arkansas,6.613,8.378,2.269,33070
0500000US05113,Polk County,Arkansas,7.986,11.972,4.212,33702
0500000US05115,Pope County,Arkansas,3.847,20.873,7.445,39810
0500000US05117,Prairie County,Arkansas,10.146,10.326,3.096,35833
0500000US05119,Pulaski County,Arkansas,2.777,32.879,12.145,46140
0500000US05121,Randolph County,Arkansas,13.078,13.446,4.743,34044
0500000US05123,St. Francis County,Arkansas,9.457,11.359,4.229,32105
0500000US05125,Saline County,Arkansas,4.050,23.043,7.627,55817
0500000US05127,Scott County,Arkansas,7.216,11.562,4.680,37321
0500000US05129,Searcy County,Arkansas,13.653,13.916,5.067,33083
0500000US05131,Sebastian County,Arkansas,2.116,19.165,6.078,38575
0500000US05133,Sevier County,Arkansas,8.017,7.935,3.320,36579
0500000US05135,Sharp County,Arkansas,10.811,9.850,3.984,30691
0500000US05137,Stone County,Arkansas,12.152,15.851,6.312,29264
0500000US05139,Union County,Arkansas,3.150,17.524,4.933,38678
0500000US05141,Van Buren County,Arkansas,13.784,12.275,4.019,32312
0500000US05143,Washington County,Arkansas,3.510,30.470,12.632,43524
0500000US05145,White County,Arkansas,8.405,19.482,7.816,42554
0500000US05147,Woodruff County,Arkansas,4.201,10.398,2.681,28993
0500000US05149,Yell County,Arkansas,4.879,12.608,3.258,37804
0500000US06001,Alameda County,California,13.543,42.954,17.986,75619
0500000US06003,Alpine County,California,0.000,27.487,12.827,52917
0500000US06005,Amador County,California,15.625,21.255,6.594,54171
0500000US06007,Butte County,California,4.904,25.863,8.348,43444
0500000US06009,Calaveras County,California,17.460,20.856,6.452,53233
0500000US06011,Colusa County,California,7.862,14.613,3.189,52168
0500000US06013,Contra Costa County,California,21.107,39.609,14.387,80185
0500000US06015,Del Norte County,California,1.811,15.093,5.738,40847
0500000US06017,El Dorado County,California,11.091,32.081,11.268,69584
0500000US06019,Fresno County,California,5.292,19.393,6.432,45233
0500000US06021,Glenn County,California,5.355,14.875,4.224,39349
0500000US06023,Humboldt County,California,3.445,27.990,9.473,42197
0500000US06025,Imperial County,California,6.176,14.081,4.199,41079
0500000US06027,Inyo County,California,2.657,23.852,9.180,45955
0500000US06029,Kern County,California,7.470,15.397,5.118,49026
0500000US06031,Kings County,California,5.240,13.393,3.688,46481
0500000US06033,Lake County,California,13.606,15.958,5.143,35578
0500000US06035,Lassen County,California,5.898,12.276,4.208,51555
0500000US06037,Los Angeles County,California,12.500,30.270,10.478,56196
0500000US06039,Madera County,California,7.168,13.344,3.975,45073
0500000US06041,Marin County,California,13.736,55.774,24.354,93257
0500000US06043,Mariposa County,California,17.584,22.094,8.293,47681
0500000US06045,Mendocino County,California,6.348,23.654,7.914,42980
0500000US06047,Merced County,California,12.833,13.080,4.387,42462
0500000US06049,Modoc County,California,5.104,17.983,4.767,37860
0500000US06051,Mono County,California,3.663,32.322,9.174,56944
0500000US06053,Monterey County,California,4.946,23.126,8.891,58783
0500000US06055,Napa County,California,9.046,32.433,10.882,71379
0500000US06057,Nevada County,California,9.365,33.676,12.026,56521
0500000US06059,Orange County,California,8.847,37.739,13.350,76509
0500000US06061,Placer County,California,7.892,36.438,11.960,73948
0500000US06063,Plumas County,California,11.559,21.956,8.625,47333
0500000US06065,Riverside County,California,17.650,20.927,7.563,56603
0500000US06067,Sacramento County,California,6.623,28.805,9.695,55987
0500000US06069,San Benito County,California,17.617,18.998,5.636,71077
0500000US06071,San Bernardino County,California,14.932,18.965,6.698,53433
0500000US06073,San Diego County,California,6.041,35.721,13.623,64309
0500000US06075,San Francisco County,California,13.192,53.831,21.215,81294
0500000US06077,San Joaquin County,California,16.342,18.366,5.852,53274
0500000US06079,San Luis Obispo County,California,4.973,32.989,12.167,60691
0500000US06081,San Mateo County,California,8.023,45.623,18.481,93623
0500000US06083,Santa Barbara County,California,4.429,32.171,12.976,63985
0500000US06085,Santa Clara County,California,7.566,47.944,21.863,96310
0500000US06087,Santa Cruz County,California,9.763,38.245,15.038,67256
0500000US06089,Shasta County,California,5.385,19.610,6.820,44620
0500000US06091,Sierra County,California,10.718,18.850,4.066,42833
0500000US06093,Siskiyou County,California,5.123,22.692,7.231,37170
0500000US06095,Solano County,California,15.620,24.930,7.351,66828
0500000US06097,Sonoma County,California,9.707,32.892,11.537,64240
0500000US06099,Stanislaus County,California,11.501,16.479,5.471,50125
0500000US06101,Sutter County,California,12.549,17.649,5.556,52017
0500000US06103,Tehama County,California,7.149,14.413,4.813,41001
0500000US06105,Trinity County,California,5.854,19.971,5.000,34974
0500000US06107,Tulare County,California,7.023,13.821,4.316,42031
0500000US06109,Tuolumne County,California,9.810,20.425,6.697,50306
0500000US06111,Ventura County,California,8.667,31.716,11.731,77348
0500000US06113,Yolo County,California,5.605,38.974,19.246,54989
0500000US06115,Yuba County,California,12.293,14.336,4.469,46892
0500000US08001,Adams County,Colorado,8.303,22.216,7.043,58946
0500000US08003,Alamosa County,Colorado,2.227,25.492,11.178,32395
0500000US08005,Arapahoe County,Colorado,7.226,40.060,14.056,63265
0500000US08007,Archuleta County,Colorado,7.519,35.004,11.528,46646
0500000US08009,Baca County,Colorado,2.994,18.960,4.637,38000
0500000US08011,Bent County,Colorado,6.244,6.956,2.120,36791
0500000US08013,Boulder County,Colorado,5.491,58.900,27.087,70961
0500000US08014,Broomfield County,Colorado,8.289,51.869,19.039,81898
0500000US08015,Chaffee County,Colorado,3.760,34.053,12.774,51092
0500000US08017,Cheyenne County,Colorado,1.683,22.473,5.210,52554
0500000US08019,Clear Creek County,Colorado,15.622,41.489,15.574,67710
0500000US08021,Conejos County,Colorado,5.560,19.483,4.965,36652
0500000US08023,Costilla County,Colorado,6.050,17.907,9.634,31321
0500000US08025,Crowley County,Colorado,8.363,11.089,3.257,31151
0500000US08027,Custer County,Colorado,17.211,35.479,13.586,35000
0500000US08029,Delta County,Colorado,10.665,20.001,7.278,42452
0500000US08031,Denver County,Colorado,5.638,44.953,17.621,53637
0500000US08033,Dolores County,Colorado,3.112,20.986,4.108,31875
0500000US08035,Douglas County,Colorado,7.503,56.603,18.822,102964
0500000US08037,Eagle County,Colorado,3.928,46.745,11.910,72214
0500000US08039,Elbert County,Colorado,21.843,30.608,8.621,84963
0500000US08041,El Paso County,Colorado,4.515,35.865,13.934,58206
0500000US08043,Fremont County,Colorado,10.948,15.249,5.871,40423
0500000US08045,Garfield County,Colorado,15.120,29.672,10.111,56590
0500000US08047,Gilpin County,Colorado,20.130,32.092,11.962,65670
0500000US08049,Grand County,Colorado,7.239,36.427,9.501,63628
0500000US08051,Gunnison County,Colorado,3.199,54.430,14.017,48071
0500000US08053,Hinsdale County,Colorado,5.459,40.358,10.744,57083
0500000US08055,Huerfano County,Colorado,10.860,27.064,12.169,31715
0500000US08057,Jackson County,Colorado,10.127,18.120,6.492,46014
0500000US08059,Jefferson County,Colorado,6.715,41.628,15.275,70164
0500000US08061,Kiowa County,Colorado,3.236,20.272,7.001,40304
0500000US08063,Kit Carson County,Colorado,2.053,13.308,3.792,40603
0500000US08065,Lake County,Colorado,11.714,27.440,7.480,45367
0500000US08067,La Plata County,Colorado,4.468,43.332,16.004,60278
0500000US08069,Larimer County,Colorado,6.676,44.271,16.708,59805
0500000US08071,Las Animas County,Colorado,5.426,16.971,6.442,45067
0500000US08073,Lincoln County,Colorado,8.100,15.074,3.428,39005
0500000US08075,Logan County,Colorado,5.449,15.792,6.030,42319
0500000US08077,Mesa County,Colorado,7.282,26.270,8.571,49322
0500000US08079,Mineral County,Colorado,4.219,42.337,13.961,48125
0500000US08081,Moffat County,Colorado,11.410,15.319,4.213,51387
0500000US08083,Montezuma County,Colorado,9.378,26.742,11.382,43553
0500000US08085,Montrose County,Colorado,6.095,24.485,9.155,43999
0500000US08087,Morgan County,Colorado,6.557,14.897,6.027,48450
0500000US08089,Otero County,Colorado,4.718,15.597,4.941,32311
0500000US08091,Ouray County,Colorado,11.134,52.029,21.185,61624
0500000US08093,Park County,Colorado,29.358,29.208,8.759,56969
0500000US08095,Phillips County,Colorado,4.600,21.237,6.485,43639
0500000US08097,Pitkin County,Colorado,4.327,59.079,16.877,71196
0500000US08099,Prowers County,Colorado,1.871,13.542,3.893,40179
0500000US08101,Pueblo County,Colorado,4.803,21.621,7.889,41286
0500000US08103,Rio Blanco County,Colorado,9.495,21.975,7.626,61842
0500000US08105,Rio Grande County,Colorado,1.953,21.973,7.963,39672
0500000US08107,Routt County,Colorado,2.355,50.410,16.172,64963
0500000US08109,Saguache County,Colorado,7.686,27.037,9.140,33393
0500000US08111,San Juan County,Colorado,8.100,29.114,5.063,36324
0500000US08113,San Miguel County,Colorado,3.267,53.869,14.154,56047
0500000US08115,Sedgwick County,Colorado,4.440,20.564,5.817,44191
0500000US08117,Summit County,Colorado,3.850,48.804,16.459,67983
0500000US08119,Teller County,Colorado,13.331,31.775,13.139,62372
0500000US08121,Washington County,Colorado,8.355,16.286,3.720,45541
0500000US08123,Weld County,Colorado,8.666,26.095,8.250,60572
0500000US08125,Yuma County,Colorado,4.880,21.532,6.803,43105
0500000US09001,Fairfield County,Connecticut,14.801,45.812,20.156,84233
0500000US09003,Hartford County,Connecticut,4.346,36.325,15.814,66395
0500000US09005,Litchfield County,Connecticut,10.043,33.583,14.116,72061
0500000US09007,Middlesex County,Connecticut,6.400,40.577,18.385,79893
0500000US09009,New Haven County,Connecticut,6.641,34.003,15.622,61640
0500000US09011,New London County,Connecticut,6.306,32.148,14.456,66233
0500000US09013,Tolland County,Connecticut,5.932,38.043,16.643,79626
0500000US09015,Windham County,Connecticut,7.999,23.133,9.255,59392
0500000US10001,Kent County,Delaware,10.596,22.536,8.432,54976
0500000US10003,New Castle County,Delaware,7.603,35.035,14.402,65476
0500000US10005,Sussex County,Delaware,6.769,23.196,9.732,53751
0500000US11001,District of Columbia,District of Columbia,8.705,54.577,31.253,70848
0500000US12001,Alachua County,Florida,3.073,41.567,20.035,43073
0500000US12003,Baker County,Florida,11.226,11.487,4.014,47121
0500000US12005,Bay County,Florida,4.601,22.217,7.825,47368
0500000US12007,Bradford County,Florida,14.045,10.872,3.062,41606
0500000US12009,Brevard County,Florida,5.904,27.318,10.450,48925
0500000US12011,Broward County,Florida,7.949,30.820,11.045,51968
0500000US12013,Calhoun County,Florida,12.372,10.527,2.353,34510
0500000US12015,Charlotte County,Florida,5.965,20.791,7.679,44244
0500000US12017,Citrus County,Florida,8.286,16.941,5.881,38312
0500000US12019,Clay County,Florida,11.861,23.761,7.013,58290
0500000US12021,Collier County,Florida,5.237,33.233,13.422,57452
0500000US12023,Columbia County,Florida,6.959,15.097,6.128,41926
0500000US12027,DeSoto County,Florida,11.312,9.714,2.865,35165
0500000US12029,Dixie County,Florida,13.355,7.862,1.795,36292
0500000US12031,Duval County,Florida,4.064,27.299,8.623,47690
0500000US12033,Escambia County,Florida,4.180,24.510,8.110,45390
0500000US12035,Flagler County,Florida,8.453,22.982,7.866,47866
0500000US12037,Franklin County,Florida,6.967,15.534,5.461,40401
0500000US12039,Gadsden County,Florida,6.624,16.994,6.570,35567
0500000US12041,Gilchrist County,Florida,8.775,11.436,3.771,40623
0500000US12043,Glades County,Florida,19.112,8.388,2.621,34877
0500000US12045,Gulf County,Florida,6.094,15.963,4.468,41788
0500000US12047,Hamilton County,Florida,3.922,9.905,2.736,35048
0500000US12049,Hardee County,Florida,6.027,10.661,3.240,35457
0500000US12051,Hendry County,Florida,14.469,9.760,3.504,36771
0500000US12053,Hernando County,Florida,14.230,15.644,5.080,40945
0500000US12055,Highlands County,Florida,5.451,16.672,5.983,35093
0500000US12057,Hillsborough County,Florida,6.514,30.559,11.055,50579
0500000US12059,Holmes County,Florida,12.806,11.294,3.961,35020
0500000US12061,Indian River County,Florida,5.712,26.812,10.457,45798
0500000US12063,Jackson County,Florida,6.047,13.651,5.323,35098
0500000US12065,Jefferson County,Florida,6.207,18.490,6.551,43355
0500000US12067,Lafayette County,Florida,4.152,11.621,3.784,35864
0500000US12069,Lake County,Florida,8.735,21.508,7.249,46403
0500000US12071,Lee County,Florida,6.999,26.007,9.831,48537
0500000US12073,Leon County,Florida,2.876,44.995,19.689,46745
0500000US12075,Levy County,Florida,9.604,10.890,3.922,35782
0500000US12077,Liberty County,Florida,14.862,11.162,4.391,39406
0500000US12079,Madison County,Florida,14.467,11.287,4.385,32164
0500000US12081,Manatee County,Florida,5.164,27.689,10.882,49675
0500000US12083,Marion County,Florida,6.296,17.809,6.074,39459
0500000US12085,Martin County,Florida,6.985,31.608,11.851,51593
0500000US12086,Miami-Dade County,Florida,10.381,26.922,9.806,43129
0500000US12087,Monroe County,Florida,4.667,31.306,12.154,57290
0500000US12089,Nassau County,Florida,8.168,23.042,7.894,54116
0500000US12091,Okaloosa County,Florida,5.284,28.843,11.009,55880
0500000US12093,Okeechobee County,Florida,10.747,10.634,3.633,35405
0500000US12095,Orange County,Florida,5.786,31.105,10.344,47943
0500000US12097,Osceola County,Florida,10.269,17.978,5.260,44254
0500000US12099,Palm Beach County,Florida,6.082,33.568,12.460,53363
0500000US12101,Pasco County,Florida,12.186,21.446,7.290,45064
0500000US12103,Pinellas County,Florida,5.146,28.870,10.091,45819
0500000US12105,Polk County,Florida,6.985,18.876,6.031,43162
0500000US12107,Putnam County,Florida,9.866,11.824,4.102,31715
0500000US12109,St. Johns County,Florida,4.904,42.076,14.466,66194
0500000US12111,St. Lucie County,Florida,8.455,19.889,7.095,43459
0500000US12113,Santa Rosa County,Florida,7.304,26.603,8.692,58923
0500000US12115,Sarasota County,Florida,3.518,32.424,13.093,51766
0500000US12117,Seminole County,Florida,5.756,35.349,11.719,57010
0500000US12119,Sumter County,Florida,9.636,28.012,11.717,50350
0500000US12121,Suwannee County,Florida,6.638,11.628,2.833,36289
0500000US12123,Taylor County,Florida,6.517,9.035,3.605,36181
0500000US12125,Union County,Florida,5.155,7.834,2.318,39163
0500000US12127,Volusia County,Florida,7.444,21.620,7.542,41117
0500000US12129,Wakulla County,Florida,7.016,16.088,4.462,50340
0500000US12131,Walton County,Florida,9.090,25.902,8.293,44966
0500000US12133,Washington County,Florida,12.762,11.145,4.452,38970
0500000US13001,Appling County,Georgia,4.203,13.126,4.927,37135
0500000US13003,Atkinson County,Georgia,3.322,7.780,2.536,30933
0500000US13005,Bacon County,Georgia,3.195,12.774,4.840,37162
0500000US13007,Baker County,Georgia,7.085,8.576,4.244,44297
0500000US13009,Baldwin County,Georgia,5.662,17.726,8.573,32460
0500000US13011,Banks County,Georgia,13.026,11.151,3.929,41472
0500000US13013,Barrow County,Georgia,13.666,16.508,4.970,52012
0500000US13015,Bartow County,Georgia,11.001,17.770,6.196,48893
0500000US13017,Ben Hill County,Georgia,2.051,10.901,3.766,29994
0500000US13019,Berrien County,Georgia,4.353,12.493,5.297,31835
0500000US13021,Bibb County,Georgia,3.378,23.797,9.318,36519
0500000US13023,Bleckley County,Georgia,5.928,16.498,6.825,38991
0500000US13025,Brantley County,Georgia,12.724,8.410,3.732,37206
0500000US13027,Brooks County,Georgia,4.564,11.686,2.649,32663
0500000US13029,Bryan County,Georgia,6.087,31.108,10.665,63327
0500000US13031,Bulloch County,Georgia,7.324,29.018,12.095,36032
0500000US13033,Burke County,Georgia,6.702,9.586,4.023,33641
0500000US13035,Butts County,Georgia,14.489,10.088,2.973,41667
0500000US13037,Calhoun County,Georgia,3.441,9.921,3.902,25513
0500000US13039,Camden County,Georgia,4.158,21.118,7.902,52473
0500000US13043,Candler County,Georgia,7.912,15.380,5.155,30185
0500000US13045,Carroll County,Georgia,12.843,17.936,6.825,43586
0500000US13047,Catoosa County,Georgia,2.176,18.640,6.423,50876
0500000US13049,Charlton County,Georgia,13.441,9.953,4.077,42778
0500000US13051,Chatham County,Georgia,3.214,32.569,12.311,47218
0500000US13053,Chattahoochee County,Georgia,1.676,25.725,6.455,43378
0500000US13055,Chattooga County,Georgia,6.689,8.826,3.121,32913
0500000US13057,Cherokee County,Georgia,15.881,34.664,10.973,68926
0500000US13059,Clarke County,Georgia,5.342,40.204,20.013,32162
0500000US13061,Clay County,Georgia,16.475,7.783,5.091,20438
0500000US13063,Clayton County,Georgia,10.011,18.339,6.102,40938
0500000US13065,Clinch County,Georgia,4.513,13.451,6.067,24015
0500000US13067,Cobb County,Georgia,11.238,44.125,14.934,65873
0500000US13069,Coffee County,Georgia,4.565,13.657,5.014,33965
0500000US13071,Colquitt County,Georgia,6.343,13.055,4.997,32409
