STATION_NAME,DATE,TMAX,TMIN
CHICAGO NORTHERLY ISLAND IL US,20160526,83,58
CHICAGO NORTHERLY ISLAND IL US,20160527,80,61
CHICAGO NORTHERLY ISLAND IL US,20160528,81,60
CHICAGO NORTHERLY ISLAND IL US,20160529,79,65
CHICAGO NORTHERLY ISLAND IL US,20160530,78,63
CHICAGO NORTHERLY ISLAND IL US,20160531,74,59
CHICAGO NORTHERLY ISLAND IL US,20160601,75,60
CHICAGO NORTHERLY ISLAND IL US,20160602,78,59
CHICAGO NORTHERLY ISLAND IL US,20160603,71,57
CHICAGO NORTHERLY ISLAND IL US,20160604,74,63
CHICAGO NORTHERLY ISLAND IL US,20160605,79,60
CHICAGO NORTHERLY ISLAND IL US,20160606,81,60
CHICAGO NORTHERLY ISLAND IL US,20160607,64,55
CHICAGO NORTHERLY ISLAND IL US,20160608,64,56
CHICAGO NORTHERLY ISLAND IL US,20160609,70,57
CHICAGO NORTHERLY ISLAND IL US,20160610,92,61
CHICAGO NORTHERLY ISLAND IL US,20160611,91,65
CHICAGO NORTHERLY ISLAND IL US,20160612,82,58
CHICAGO NORTHERLY ISLAND IL US,20160613,74,57
CHICAGO NORTHERLY ISLAND IL US,20160614,74,64
CHICAGO NORTHERLY ISLAND IL US,20160615,88,68
CHICAGO NORTHERLY ISLAND IL US,20160616,81,62
CHICAGO NORTHERLY ISLAND IL US,20160617,73,62
CHICAGO NORTHERLY ISLAND IL US,20160618,77,62
CHICAGO NORTHERLY ISLAND IL US,20160619,89,65
CHICAGO NORTHERLY ISLAND IL US,20160620,92,70
CHICAGO NORTHERLY ISLAND IL US,20160621,77,68
CHICAGO NORTHERLY ISLAND IL US,20160622,77,67
CHICAGO NORTHERLY ISLAND IL US,20160623,72,65
CHICAGO NORTHERLY ISLAND IL US,20160624,76,66
CHICAGO NORTHERLY ISLAND IL US,20160625,89,67
CHICAGO NORTHERLY ISLAND IL US,20160626,84,73
CHICAGO NORTHERLY ISLAND IL US,20160627,89,69
CHICAGO NORTHERLY ISLAND IL US,20160628,70,62
CHICAGO NORTHERLY ISLAND IL US,20160629,73,61
CHICAGO NORTHERLY ISLAND IL US,20160630,79,66
CHICAGO NORTHERLY ISLAND IL US,20160701,71,64
CHICAGO NORTHERLY ISLAND IL US,20160702,74,62
CHICAGO NORTHERLY ISLAND IL US,20160703,73,62
CHICAGO NORTHERLY ISLAND IL US,20160704,75,65
CHICAGO NORTHERLY ISLAND IL US,20160705,88,70
CHICAGO NORTHERLY ISLAND IL US,20160706,87,68
CHICAGO NORTHERLY ISLAND IL US,20160707,82,70
CHICAGO NORTHERLY ISLAND IL US,20160708,87,69
CHICAGO NORTHERLY ISLAND IL US,20160712,89,
CHICAGO NORTHERLY ISLAND IL US,20160713,86,70
CHICAGO NORTHERLY ISLAND IL US,20160714,87,69
CHICAGO NORTHERLY ISLAND IL US,20160715,75,65
CHICAGO NORTHERLY ISLAND IL US,20160716,73,63
CHICAGO NORTHERLY ISLAND IL US,20160717,84,66
CHICAGO NORTHERLY ISLAND IL US,20160718,80,70
CHICAGO NORTHERLY ISLAND IL US,20160719,80,70
CHICAGO NORTHERLY ISLAND IL US,20160720,87,70
CHICAGO NORTHERLY ISLAND IL US,20160721,90,69
CHICAGO NORTHERLY ISLAND IL US,20160722,88,69
CHICAGO NORTHERLY ISLAND IL US,20160723,84,69
CHICAGO NORTHERLY ISLAND IL US,20160724,91,67
CHICAGO NORTHERLY ISLAND IL US,20160725,80,67
CHICAGO NORTHERLY ISLAND IL US,20160726,80,70
CHICAGO NORTHERLY ISLAND IL US,20160727,83,70
CHICAGO NORTHERLY ISLAND IL US,20160728,80,70
CHICAGO NORTHERLY ISLAND IL US,20160729,78,70
CHICAGO NORTHERLY ISLAND IL US,20160730,76,68
CHICAGO NORTHERLY ISLAND IL US,20160731,77,69
CHICAGO NORTHERLY ISLAND IL US,20160801,78,71
CHICAGO NORTHERLY ISLAND IL US,20160802,80,72
CHICAGO NORTHERLY ISLAND IL US,20160803,82,72
CHICAGO NORTHERLY ISLAND IL US,20160804,87,73
CHICAGO NORTHERLY ISLAND IL US,20160805,82,73
CHICAGO NORTHERLY ISLAND IL US,20160806,79,71
CHICAGO NORTHERLY ISLAND IL US,20160807,78,69
CHICAGO NORTHERLY ISLAND IL US,20160808,79,73
CHICAGO NORTHERLY ISLAND IL US,20160809,82,70
CHICAGO NORTHERLY ISLAND IL US,20160810,84,74
CHICAGO NORTHERLY ISLAND IL US,20160811,92,70
CHICAGO NORTHERLY ISLAND IL US,20160812,84,72
CHICAGO NORTHERLY ISLAND IL US,20160813,84,73
CHICAGO NORTHERLY ISLAND IL US,20160814,80,71
CHICAGO NORTHERLY ISLAND IL US,20160815,75,70
CHICAGO NORTHERLY ISLAND IL US,20160816,79,70
CHICAGO NORTHERLY ISLAND IL US,20160817,87,71
CHICAGO NORTHERLY ISLAND IL US,20160818,85,70
CHICAGO NORTHERLY ISLAND IL US,20160819,83,68
CHICAGO NORTHERLY ISLAND IL US,20160820,81,66
CHICAGO NORTHERLY ISLAND IL US,20160821,76,62
CHICAGO NORTHERLY ISLAND IL US,20160822,78,61
CHICAGO NORTHERLY ISLAND IL US,20160823,80,66
CHICAGO NORTHERLY ISLAND IL US,20160824,85,71
CHICAGO NORTHERLY ISLAND IL US,20160825,77,70
CHICAGO NORTHERLY ISLAND IL US,20160826,76,66
CHICAGO NORTHERLY ISLAND IL US,20160827,85,69
CHICAGO NORTHERLY ISLAND IL US,20160828,78,71
CHICAGO NORTHERLY ISLAND IL US,20160829,80,71
CHICAGO NORTHERLY ISLAND IL US,20160830,85,72
CHICAGO NORTHERLY ISLAND IL US,20160831,75,69
CHICAGO NORTHERLY ISLAND IL US,20160901,73,63
CHICAGO NORTHERLY ISLAND IL US,20160902,72,65
CHICAGO NORTHERLY ISLAND IL US,20160903,72,63
CHICAGO NORTHERLY ISLAND IL US,20160904,78,63
CHICAGO NORTHERLY ISLAND IL US,20160905,88,68
CHICAGO NORTHERLY ISLAND IL US,20160906,91,76
CHICAGO NORTHERLY ISLAND IL US,20160907,92,76
CHICAGO NORTHERLY ISLAND IL US,20160908,82,72
CHICAGO NORTHERLY ISLAND IL US,20160909,81,69
CHICAGO NORTHERLY ISLAND IL US,20160910,73,64
CHICAGO NORTHERLY ISLAND IL US,20160911,76,61
CHICAGO NORTHERLY ISLAND IL US,20160912,80,63
CHICAGO NORTHERLY ISLAND IL US,20160913,85,66
CHICAGO NORTHERLY ISLAND IL US,20160914,72,65
CHICAGO NORTHERLY ISLAND IL US,20160915,73,66
CHICAGO NORTHERLY ISLAND IL US,20160916,82,65
CHICAGO NORTHERLY ISLAND IL US,20160917,82,68
CHICAGO NORTHERLY ISLAND IL US,20160918,73,64
CHICAGO NORTHERLY ISLAND IL US,20160919,87,66
CHICAGO NORTHERLY ISLAND IL US,20160920,77,67
CHICAGO NORTHERLY ISLAND IL US,20160921,83,66
CHICAGO NORTHERLY ISLAND IL US,20160922,84,67
CHICAGO NORTHERLY ISLAND IL US,20160923,73,68
CHICAGO NORTHERLY ISLAND IL US,20160924,72,66
CHICAGO NORTHERLY ISLAND IL US,20160925,84,64
CHICAGO NORTHERLY ISLAND IL US,20160926,70,59
CHICAGO NORTHERLY ISLAND IL US,20160927,70,55
CHICAGO NORTHERLY ISLAND IL US,20160928,63,51
CHICAGO NORTHERLY ISLAND IL US,20160929,65,60
CHICAGO NORTHERLY ISLAND IL US,20160930,63,60
CHICAGO NORTHERLY ISLAND IL US,20161001,64,58
CHICAGO NORTHERLY ISLAND IL US,20161002,66,58
CHICAGO NORTHERLY ISLAND IL US,20161003,65,60
CHICAGO NORTHERLY ISLAND IL US,20161004,69,61
CHICAGO NORTHERLY ISLAND IL US,20161005,81,62
CHICAGO NORTHERLY ISLAND IL US,20161006,72,62
CHICAGO NORTHERLY ISLAND IL US,20161007,72,53
CHICAGO NORTHERLY ISLAND IL US,20161008,59,47
CHICAGO NORTHERLY ISLAND IL US,20161009,61,51
CHICAGO NORTHERLY ISLAND IL US,20161010,65,51
CHICAGO NORTHERLY ISLAND IL US,20161011,74,59
CHICAGO NORTHERLY ISLAND IL US,20161012,68,47
CHICAGO NORTHERLY ISLAND IL US,20161013,54,44
CHICAGO NORTHERLY ISLAND IL US,20161014,68,46
CHICAGO NORTHERLY ISLAND IL US,20161015,71,55
CHICAGO NORTHERLY ISLAND IL US,20161016,70,62
CHICAGO NORTHERLY ISLAND IL US,20161017,83,68
CHICAGO NORTHERLY ISLAND IL US,20161018,76,60
CHICAGO NORTHERLY ISLAND IL US,20161019,68,57
CHICAGO NORTHERLY ISLAND IL US,20161020,59,49
CHICAGO NORTHERLY ISLAND IL US,20161021,53,46
CHICAGO NORTHERLY ISLAND IL US,20161022,61,44
CHICAGO NORTHERLY ISLAND IL US,20161023,73,49
CHICAGO NORTHERLY ISLAND IL US,20161024,55,49
CHICAGO NORTHERLY ISLAND IL US,20161025,54,47
CHICAGO NORTHERLY ISLAND IL US,20161026,52,47
CHICAGO NORTHERLY ISLAND IL US,20161027,51,46
CHICAGO NORTHERLY ISLAND IL US,20161028,65,44
CHICAGO NORTHERLY ISLAND IL US,20161029,71,56
CHICAGO NORTHERLY ISLAND IL US,20161030,56,48
CHICAGO NORTHERLY ISLAND IL US,20161031,62,45
CHICAGO NORTHERLY ISLAND IL US,20161101,76,61
CHICAGO NORTHERLY ISLAND IL US,20161102,66,55
CHICAGO NORTHERLY ISLAND IL US,20161103,57,51
CHICAGO NORTHERLY ISLAND IL US,20161104,57,50
CHICAGO NORTHERLY ISLAND IL US,20161105,68,50
CHICAGO NORTHERLY ISLAND IL US,20161106,68,51
CHICAGO NORTHERLY ISLAND IL US,20161107,68,52
CHICAGO NORTHERLY ISLAND IL US,20161108,63,51
CHICAGO NORTHERLY ISLAND IL US,20161109,56,47
CHICAGO NORTHERLY ISLAND IL US,20161110,64,45
CHICAGO NORTHERLY ISLAND IL US,20161111,58,46
CHICAGO NORTHERLY ISLAND IL US,20161112,53,40
CHICAGO NORTHERLY ISLAND IL US,20161113,57,38
CHICAGO NORTHERLY ISLAND IL US,20161114,60,42
CHICAGO NORTHERLY ISLAND IL US,20161115,53,46
CHICAGO NORTHERLY ISLAND IL US,20161116,55,45
CHICAGO NORTHERLY ISLAND IL US,20161117,73,49
CHICAGO NORTHERLY ISLAND IL US,20161118,66,41
CHICAGO NORTHERLY ISLAND IL US,20161119,41,31
CHICAGO NORTHERLY ISLAND IL US,20161120,36,27
CHICAGO NORTHERLY ISLAND IL US,20161121,40,30
CHICAGO NORTHERLY ISLAND IL US,20161122,41,34
CHICAGO NORTHERLY ISLAND IL US,20161123,45,38
CHICAGO NORTHERLY ISLAND IL US,20161124,45,36
CHICAGO NORTHERLY ISLAND IL US,20161125,42,36
CHICAGO NORTHERLY ISLAND IL US,20161126,46,36
CHICAGO NORTHERLY ISLAND IL US,20161127,44,36
CHICAGO NORTHERLY ISLAND IL US,20161128,53,42
CHICAGO NORTHERLY ISLAND IL US,20161129,58,46
CHICAGO NORTHERLY ISLAND IL US,20161130,47,37
CHICAGO NORTHERLY ISLAND IL US,20161201,41,37
CHICAGO NORTHERLY ISLAND IL US,20161202,41,35
CHICAGO NORTHERLY ISLAND IL US,20161203,36,32
CHICAGO NORTHERLY ISLAND IL US,20161204,36,32
CHICAGO NORTHERLY ISLAND IL US,20161205,37,32
CHICAGO NORTHERLY ISLAND IL US,20161206,43,28
CHICAGO NORTHERLY ISLAND IL US,20161207,32,23
CHICAGO NORTHERLY ISLAND IL US,20161208,25,18
CHICAGO NORTHERLY ISLAND IL US,20161209,27,21
CHICAGO NORTHERLY ISLAND IL US,20161210,25,20
CHICAGO NORTHERLY ISLAND IL US,20161211,34,24
CHICAGO NORTHERLY ISLAND IL US,20161212,34,17
CHICAGO NORTHERLY ISLAND IL US,20161213,24,9
CHICAGO NORTHERLY ISLAND IL US,20161214,22,6
CHICAGO NORTHERLY ISLAND IL US,20161215,13,2
CHICAGO NORTHERLY ISLAND IL US,20161216,22,10
CHICAGO NORTHERLY ISLAND IL US,20161217,26,20
CHICAGO NORTHERLY ISLAND IL US,20161218,21,-2
CHICAGO NORTHERLY ISLAND IL US,20161219,16,-4
CHICAGO NORTHERLY ISLAND IL US,20161220,30,16
CHICAGO NORTHERLY ISLAND IL US,20161222,41,29
CHICAGO NORTHERLY ISLAND IL US,20161223,37,30
CHICAGO NORTHERLY ISLAND IL US,20161224,37,33
CHICAGO NORTHERLY ISLAND IL US,20161225,37,32
CHICAGO NORTHERLY ISLAND IL US,20161226,55,30
CHICAGO NORTHERLY ISLAND IL US,20161227,31,26
CHICAGO NORTHERLY ISLAND IL US,20161228,44,26
CHICAGO NORTHERLY ISLAND IL US,20161229,36,31
CHICAGO NORTHERLY ISLAND IL US,20161230,37,26
CHICAGO NORTHERLY ISLAND IL US,20161231,41,28
WAIKIKI 717.2 HI US,20160101,85,62
WAIKIKI 717.2 HI US,20160102,83,62
WAIKIKI 717.2 HI US,20160103,83,62
WAIKIKI 717.2 HI US,20160104,83,61
WAIKIKI 717.2 HI US,20160105,81,62
WAIKIKI 717.2 HI US,20160106,81,68
WAIKIKI 717.2 HI US,20160107,82,65
WAIKIKI 717.2 HI US,20160108,83,64
WAIKIKI 717.2 HI US,20160109,82,67
WAIKIKI 717.2 HI US,20160110,83,65
WAIKIKI 717.2 HI US,20160111,83,66
WAIKIKI 717.2 HI US,20160112,83,63
WAIKIKI 717.2 HI US,20160113,83,63
WAIKIKI 717.2 HI US,20160114,83,63
WAIKIKI 717.2 HI US,20160115,83,64
WAIKIKI 717.2 HI US,20160116,84,64
WAIKIKI 717.2 HI US,20160117,84,63
WAIKIKI 717.2 HI US,20160118,84,63
WAIKIKI 717.2 HI US,20160119,83,62
WAIKIKI 717.2 HI US,20160120,83,63
WAIKIKI 717.2 HI US,20160121,80,63
WAIKIKI 717.2 HI US,20160122,82,65
WAIKIKI 717.2 HI US,20160123,84,67
WAIKIKI 717.2 HI US,20160124,84,67
WAIKIKI 717.2 HI US,20160125,84,66
WAIKIKI 717.2 HI US,20160126,84,66
WAIKIKI 717.2 HI US,20160127,83,68
WAIKIKI 717.2 HI US,20160128,84,64
WAIKIKI 717.2 HI US,20160129,84,65
WAIKIKI 717.2 HI US,20160130,85,64
WAIKIKI 717.2 HI US,20160131,85,65
WAIKIKI 717.2 HI US,20160201,85,65
WAIKIKI 717.2 HI US,20160202,85,65
WAIKIKI 717.2 HI US,20160203,85,65
WAIKIKI 717.2 HI US,20160204,85,65
WAIKIKI 717.2 HI US,20160205,85,66
WAIKIKI 717.2 HI US,20160206,85,69
WAIKIKI 717.2 HI US,20160207,85,66
WAIKIKI 717.2 HI US,20160208,85,63
WAIKIKI 717.2 HI US,20160209,84,65
WAIKIKI 717.2 HI US,20160210,82,58
WAIKIKI 717.2 HI US,20160211,84,59
WAIKIKI 717.2 HI US,20160212,84,62
WAIKIKI 717.2 HI US,20160213,84,68
WAIKIKI 717.2 HI US,20160214,87,68
WAIKIKI 717.2 HI US,20160215,87,68
WAIKIKI 717.2 HI US,20160216,84,71
WAIKIKI 717.2 HI US,20160217,82,68
WAIKIKI 717.2 HI US,20160218,82,68
WAIKIKI 717.2 HI US,20160219,83,66
WAIKIKI 717.2 HI US,20160220,82,63
WAIKIKI 717.2 HI US,20160221,83,66
WAIKIKI 717.2 HI US,20160222,83,62
WAIKIKI 717.2 HI US,20160223,83,62
WAIKIKI 717.2 HI US,20160224,83,64
WAIKIKI 717.2 HI US,20160225,83,63
WAIKIKI 717.2 HI US,20160226,82,66
WAIKIKI 717.2 HI US,20160227,85,66
WAIKIKI 717.2 HI US,20160228,85,66
WAIKIKI 717.2 HI US,20160229,85,68
WAIKIKI 717.2 HI US,20160301,85,71
WAIKIKI 717.2 HI US,20160302,84,67
WAIKIKI 717.2 HI US,20160303,80,65
WAIKIKI 717.2 HI US,20160304,83,64
WAIKIKI 717.2 HI US,20160305,84,61
WAIKIKI 717.2 HI US,20160306,85,65
WAIKIKI 717.2 HI US,20160307,85,67
WAIKIKI 717.2 HI US,20160308,85,69
WAIKIKI 717.2 HI US,20160309,87,66
WAIKIKI 717.2 HI US,20160310,87,66
WAIKIKI 717.2 HI US,20160311,87,66
WAIKIKI 717.2 HI US,20160312,81,70
WAIKIKI 717.2 HI US,20160313,83,72
WAIKIKI 717.2 HI US,20160314,83,72
WAIKIKI 717.2 HI US,20160315,86,64
WAIKIKI 717.2 HI US,20160316,84,66
WAIKIKI 717.2 HI US,20160317,80,66
WAIKIKI 717.2 HI US,20160318,80,67
WAIKIKI 717.2 HI US,20160319,80,68
WAIKIKI 717.2 HI US,20160320,82,68
WAIKIKI 717.2 HI US,20160321,84,70
WAIKIKI 717.2 HI US,20160322,84,68
WAIKIKI 717.2 HI US,20160323,82,66
WAIKIKI 717.2 HI US,20160324,85,66
WAIKIKI 717.2 HI US,20160325,85,68
WAIKIKI 717.2 HI US,20160326,77,64
WAIKIKI 717.2 HI US,20160327,86,65
WAIKIKI 717.2 HI US,20160328,85,67
WAIKIKI 717.2 HI US,20160329,87,70
WAIKIKI 717.2 HI US,20160330,85,64
WAIKIKI 717.2 HI US,20160331,85,66
WAIKIKI 717.2 HI US,20160401,85,67
WAIKIKI 717.2 HI US,20160402,86,68
WAIKIKI 717.2 HI US,20160403,87,69
WAIKIKI 717.2 HI US,20160404,86,71
WAIKIKI 717.2 HI US,20160405,87,70
WAIKIKI 717.2 HI US,20160406,88,69
WAIKIKI 717.2 HI US,20160407,80,70
WAIKIKI 717.2 HI US,20160408,82,73
WAIKIKI 717.2 HI US,20160409,85,72
WAIKIKI 717.2 HI US,20160410,86,72
WAIKIKI 717.2 HI US,20160411,87,72
WAIKIKI 717.2 HI US,20160412,85,74
WAIKIKI 717.2 HI US,20160413,85,73
WAIKIKI 717.2 HI US,20160414,85,73
WAIKIKI 717.2 HI US,20160415,86,74
WAIKIKI 717.2 HI US,20160416,88,73
WAIKIKI 717.2 HI US,20160417,87,69
WAIKIKI 717.2 HI US,20160418,81,69
WAIKIKI 717.2 HI US,20160419,82,68
WAIKIKI 717.2 HI US,20160420,84,72
WAIKIKI 717.2 HI US,20160421,84,72
WAIKIKI 717.2 HI US,20160422,83,73
WAIKIKI 717.2 HI US,20160423,85,72
WAIKIKI 717.2 HI US,20160424,85,75
WAIKIKI 717.2 HI US,20160425,86,75
WAIKIKI 717.2 HI US,20160426,87,74
WAIKIKI 717.2 HI US,20160427,87,74
WAIKIKI 717.2 HI US,20160428,87,74
WAIKIKI 717.2 HI US,20160429,87,74
WAIKIKI 717.2 HI US,20160430,87,74
WAIKIKI 717.2 HI US,20160501,87,74
WAIKIKI 717.2 HI US,20160502,86,74
WAIKIKI 717.2 HI US,20160503,86,74
WAIKIKI 717.2 HI US,20160504,84,73
WAIKIKI 717.2 HI US,20160505,86,72
WAIKIKI 717.2 HI US,20160506,87,72
WAIKIKI 717.2 HI US,20160507,88,71
