STABR,FSCSKEY,LIBID,LIBNAME,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,TOTEXPCO,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,LOANTO,LOANFM,TOTPRO,TOTATTEN,GPTERMS,PITUSR,WIFISESS,YR_SUB
AK,AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,08,1,00,00,00,-133.1514564,55.4761261,02,198,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,1198,1,0,0,0,1,1.5,132077,9107,14642,195172,,,,20605,1100,28265,192281,14000,0,0,14000,14000,9981,10120,195,10496,2911,0,49,82,2355,18370,3027,2729,36231,8070,9647,0,94,403,3318,4,4861,1698,2015
AK,AK0018,AK0018-002,IPNATCHIAQ LIBRARY,08,1,08,00,00,0,0,02,188,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,9073632136,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,152,1,0,0,0,.28,.28,4836,4800,0,9636,,,,100,0,100,9636,0,0,0,0,0,10738,31,425,0,282,0,0,476,550,300,0,32,112,32,0,0,0,17,30,0,0,0,2015
AK,AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,08,2,00,00,00,-145.7334852,64.0465711,02,240,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,1089,1,0,0,0,1,2.75,181404,6600,1000,207028,97298,46331,143629,8157,0,9157,202197,0,0,0,0,0,15911,9773,622,10496,3760,0,50,12,2600,46008,1600,6026,49098,13765,1206,135,137,152,4625,8,7729,18500,2015
AK,AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,08,2,00,00,00,-158.4667361,59.0402542,02,070,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,2431,1,0,0,0,1,1.88,113873,10081,17268,184495,,,,8236,0,11042,181014,0,0,0,0,0,23669,9773,1034,10496,4715,0,50,46,2080,40202,2704,2497,25322,7099,927,0,122,125,2645,6,8320,5672,2015
AK,AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,08,2,00,00,15,-141.201518,64.786619,02,240,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,81,1,0,0,0,.48,.91,2000,12730,16961,91399,,,,3178,456,7119,89818,0,0,0,0,0,10015,9773,725,10496,4349,0,51,39,713,2142,73,290,6126,1717,235,0,20,16,133,7,1260,1835,2015
AK,AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,08,1,00,14,00,-147.738617,64.838318,02,090,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,NO,CO,MO,CO1,N,07/01/2013,06/30/2014,97972,1,1,1,10,11,48.1,5701389,19800,165466,5991352,3017054,1695305,4712359,364265,171313,639918,5972128,0,7209841,0,7309841,8489523,325687,14828,21644,15981,32262,0,83,564,7128,316711,123188,56977,671976,288432,35537,5645,3664,891,33709,31,60957,115030,2015
AK,AK0025,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,08,1,00,00,15,-156.8723252,64.7480237,02,290,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561883,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,449,1,0,0,0,.38,.38,18914,6600,6000,31514,,,,3311,0,3510,32457,0,0,0,0,0,9549,0,0,0,768,0,49,44,720,3720,360,400,6168,1729,0,0,72,198,703,2,480,0,2015
AK,AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,08,1,00,00,00,-146.050333,62.198412,02,261,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,473,1,0,0,0,0,.18,0,8626,7280,69672,,,,5045,699,6343,39552,0,28716,0,28716,0,18531,16,708,0,4209,0,50,20,1582,6377,2640,790,13763,4764,5,0,44,35,492,6,3000,4553,2015
AK,AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,08,1,00,00,00,-135.726709,58.4130833,02,105,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,516,1,0,0,0,1.07,1.07,46676,6918,4698,74647,,,,6381,600,6981,74718,21866,0,0,21866,21866,12262,9773,112,10496,1485,0,49,18,1248,10311,250,750,9374,4716,196,0,49,267,3153,5,1814,1346,2015
AK,AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,08,1,00,00,00,-135.4480632,59.232844,02,100,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,NO,CO,SO,CO1,N,07/01/2013,06/30/2014,2537,1,0,0,0,2.7,5.3,371114,16052,44897,484428,239827,115955,355782,14426,1500,18176,478073,0,0,0,0,0,32415,9773,2623,10496,4889,0,49,135,3016,87933,9809,2316,103542,28577,1474,174,135,592,7246,12,19371,15245,2015
AK,AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,08,2,00,00,00,-149.0170333,63.8734912,02,068,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,1104,1,0,0,0,.6,.6,10279,6600,1000,28837,,,,6281,1500,8248,34113,0,0,0,0,0,27668,9773,1005,10496,2071,0,49,19,1000,5532,500,969,14931,4186,898,5,159,75,1715,9,757,332,2015
AK,AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,08,2,00,00,00,-133.075907,55.781881,02,198,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,94,1,0,0,0,0,.18,0,8237,11101,47909,,,,1766,0,3229,47861,0,0,0,0,0,18050,11,370,0,620,0,49,18,1100,2000,600,300,1514,424,5,0,0,49,353,6,592,225,2015
AK,AK0032,AK0032-002,HOMER PUBLIC LIBRARY,08,1,00,00,00,-151.544299,59.640502,02,122,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,NO,CI,SO,CI1,N,01/01/2013,12/31/2013,5099,1,0,0,2,2,8.38,864070,8600,3500,915862,336999,238922,575921,64200,6409,82751,799213,0,0,0,0,0,39354,9773,2097,10496,2451,0,55,145,2617,124102,12532,10193,118157,39578,10666,291,432,331,6314,35,29118,18757,2015
AK,AK0033,AK0033-002,HOPE COMMUNITY LIBRARY,08,1,00,00,00,-149.445094,60.109417,02,122,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,205,1,0,0,0,0,0,0,14513,0,17615,,,,3272,0,3272,15339,0,0,0,0,0,5663,0,199,0,1208,0,49,5,960,1632,400,172,1360,224,0,0,0,17,169,1,204,182,2015
AK,AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,08,1,00,00,00,-134.4036617,58.2984755,02,110,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865249,NO,CO,MO,CO1,N,07/01/2013,06/30/2014,33026,1,2,0,4.75,4.75,20.56,2224292,19800,108700,2375230,987236,689201,1676437,133586,17435,166821,2276470,0,0,0,0,0,120886,9773,5204,10496,5677,0,60,427,7584,294448,24881,24305,180382,66369,10875,11623,11969,594,16416,59,75097,60000,2015
AK,AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,08,2,00,00,15,-151.2603381,60.3125872,02,122,58231 STERLING HIGHWAY,KASILOF,99610,M,KENAI PENINSULA,9072603959,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,574,1,0,0,0,.29,.46,8700,8200,9183,31481,,,,3177,0,3312,34485,0,0,0,0,0,12904,0,164,0,235,0,49,24,750,5000,350,387,5188,1454,0,0,15,11,110,7,1288,1296,2015
AK,AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,08,1,00,00,00,-151.2442311,60.5585732,02,122,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,7167,1,0,0,2,3,8.1,831585,6600,9273,880934,382310,166344,548654,60721,6549,71746,813093,0,0,0,0,0,76934,9773,1762,10496,3820,0,50,121,3006,101084,1005,12196,130316,38159,14182,338,382,317,4567,31,17043,87360,2015
AK,AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,08,1,00,00,00,-131.650729,55.352711,02,130,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,NO,CO,SO,CO1,N,01/01/2013,12/31/2013,13825,1,0,0,2.96,2.96,7.71,1371390,6500,14636,1561370,532257,306783,839040,79595,2349,104481,1077604,0,0,0,0,0,60006,9707,5109,10496,6738,0,53,157,2916,97656,11887,9076,167712,72650,5461,319,213,433,9055,26,4401,6000,2015
AK,AK0040,AK0040-002,KODIAK PUBLIC LIBRARY,08,1,00,06,07,0,0,02,150,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,NO,CI,SO,CI2,N,07/01/2013,06/30/2014,13402,1,0,0,1,1,7,847134,8500,0,873474,336256,312549,648805,28584,30000,64434,836376,500000,6900000,0,7545000,3211657,73278,9773,2634,10496,2479,0,49,128,3047,150000,3018,10187,62477,21160,4119,825,217,218,2800,34,68000,9100,2015
AK,AK0041,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,08,1,00,00,00,-162.5928328,66.8970613,02,188,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,NO,MJ,MO,CI2,N,07/01/2013,06/30/2014,4029,1,1,0,1,2.25,3.25,129370,13200,8153,285924,123345,43898,167243,14736,0,19094,283431,0,0,0,0,0,23488,0,270,0,2392,0,259,93,2912,31300,2600,958,11406,1408,0,35,181,207,2162,18,7900,3000,2015
AK,AK0044,AK0044-002,MCGRATH COMMUNITY LIBRARY,08,1,00,00,00,-160.065507,62.909259,02,290,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,315,1,0,0,0,.64,.64,0,19192,7058,82542,,,,3022,868,3890,75616,0,0,0,0,0,14124,5,13,0,930,0,50,18,1332,4529,338,270,1444,520,5,0,36,51,1283,7,1514,1823,2015
AK,AK0046,AK0046-002,CENTENNIAL LIBRARY,08,2,00,00,00,-131.575207,55.128483,02,198,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,NO,NL,SO,CI1,N,07/01/2013,06/30/2014,1480,1,0,0,0,1,1,59167,6600,3622,69389,,,,5656,0,6088,68248,0,0,0,0,0,12802,9773,135,10496,143,0,49,14,1000,3508,376,350,1363,382,50,0,50,71,727,10,2018,401,2015
AK,AK0047,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,08,1,00,00,00,-156.6675022,58.6820703,02,060,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,NO,CO,MO,CI2,N,07/01/2013,06/30/2014,942,1,1,0,0,1,3.11,297583,13200,0,311940,141927,86878,228805,12566,0,15193,276195,0,0,0,0,0,13383,0,282,0,3207,0,49,22,3224,10247,196,561,6401,1637,0,0,51,75,764,9,3526,2699,2015
AK,AK0048,AK0048-002,NENANA PUBLIC LIBRARY,08,1,00,00,15,-149.0928496,64.5624425,02,290,106 EAST SECOND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,396,1,0,0,0,.87,1.12,81632,8208,15275,113910,,,,5900,52,7497,106622,0,0,0,0,0,7919,266,873,0,1695,0,49,10,1664,6656,780,1095,8984,1373,52,0,334,83,984,7,1664,1040,2015
AK,AK0051,AK0051-002,NINILCHIK COMMUNITY LIBRARY,08,1,00,00,00,-151.6922728,60.0277445,02,122,15850 STERLING HIGHWAY,NINILCHIK,99639,M,KENAI PENINSULA,9075673333,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,847,1,0,0,0,.2,.35,4950,7688,11101,27473,,,,4453,0,4939,30008,0,0,0,0,0,10301,9773,250,10496,2048,0,49,5,1456,5500,250,261,7063,1134,143,0,183,40,158,6,1074,316,2015
AK,AK0052,AK0052-002,KEGOAYAH KOZGA LIBRARY,08,1,00,00,00,-165.4054974,64.4973222,02,180,223 FRONT STREET,NOME,99762,M,NOME,9074436628,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,3721,1,0,0,0,1,3,276346,17104,13024,349382,135505,96754,232259,17193,0,17881,341130,0,0,0,0,0,20748,0,267,0,1272,0,49,37,2244,27000,1700,2168,17856,8390,0,15,68,157,3149,8,10785,3000,2015
AK,AK0053,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,08,1,00,00,00,-141.9362156,62.95927,02,240,496 NORTHWAY ROAD,NORTHWAY,99764,M,SE FAIRBANK,9077782310,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,66,1,0,0,0,.25,.25,19850,6600,95,26545,,,,2018,0,2618,25188,0,0,0,0,0,4391,0,193,0,342,0,49,14,300,400,34,66,633,512,0,0,0,2,33,1,250,0,2015
AK,AK0055,AK0055-002,PALMER PUBLIC LIBRARY,08,1,00,00,00,-149.113048,61.599967,02,170,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,NO,CO,SO,CO1,N,07/01/2013,06/30/2014,26162,1,0,0,0,1,7.25,642969,6600,3000,658768,263081,176781,439862,39150,0,39150,609269,0,0,0,0,0,61371,9773,2574,10496,3457,0,49,42,2288,91387,11528,8460,133023,66157,10068,151,207,366,11711,29,13617,9599,2015
AK,AK0056,AK0056-002,PELICAN PUBLIC LIBRARY,08,1,00,00,00,-136.2239227,57.9587365,02,105,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,75,1,0,0,0,.25,.43,28792,7428,1000,64078,,,,1611,0,4273,69371,0,0,0,0,0,9974,0,300,0,2705,0,49,38,728,3956,130,342,4330,908,0,0,0,146,969,3,3276,0,2015
AK,AK0057,AK0057-002,PETERSBURG PUBLIC LIBRARY,08,2,00,00,07,0,0,02,195,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,3209,1,0,0,1,1,4.3,367068,6600,27131,412159,178923,57004,235927,22034,1500,41747,410584,0,116097,200000,396097,1046540,26537,9773,1684,10496,10777,0,49,118,2408,73000,5300,3346,84627,23725,3281,1,166,193,3134,23,6700,8000,2015
AK,AK0058,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,08,1,00,00,00,-152.883684,57.86639,02,150,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074542288,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,176,1,0,0,0,.58,.58,13382,24720,10721,93638,,,,1900,0,3075,81755,0,0,0,0,0,9573,50,233,44,1262,24,49,23,1196,3154,464,170,2708,238,33,0,268,196,682,6,1523,600,2015
AK,AK0061,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,08,2,00,00,00,-170.2800724,57.1209898,02,016,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463324,NO,MJ,SO,CI1,N,07/01/2013,06/30/2014,436,1,0,0,0,.35,.7,24441,6600,5290,36331,,,,3975,0,3975,36331,0,0,0,0,0,13392,6,49,0,792,0,51,44,960,3200,500,323,2964,831,0,0,0,45,331,14,1285,1600,2015
AK,AK0064,AK0064-002,SELDOVIA PUBLIC LIBRARY,08,1,00,00,00,-151.7145869,59.4386818,02,122,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,233,1,0,0,0,0,.18,6333,7484,9334,30548,,,,4327,0,5718,29415,0,0,0,0,0,8830,0,372,0,2174,0,49,17,1029,5138,137,355,6392,1235,0,0,21,75,1071,9,893,696,2015
AK,AK0065,AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,08,1,00,00,07,0,0,02,122,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,NO,CI,SO,CI1,N,01/01/2013,12/31/2013,2768,1,0,0,1,2,4.5,450194,6600,6988,500032,189322,144562,333884,24680,0,29767,432284,0,131866,300000,431866,235950,28734,9773,1098,10496,2463,875,54,88,2424,77300,2400,7639,20275,4041,2892,105,453,201,4568,10,14241,8031,2015
AK,AK0067,AK0067-002,KETTLESON MEMORIAL LIBRARY,08,1,00,00,00,-135.3345211,57.0495852,02,220,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,NO,CO,SO,CO1,N,07/01/2013,06/30/2014,9061,1,0,0,2.3,3,6.8,873041,8600,6642,890226,333931,220680,554611,72500,4100,92100,882571,0,0,0,0,0,62664,9773,4485,10496,5228,0,51,247,3692,149293,5652,11843,125698,48424,3095,989,1006,299,8881,12,32619,0,2015
AK,AK0068,AK0068-002,SKAGWAY PUBLIC LIBRARY,08,1,00,00,00,-135.3080232,59.4606145,02,230,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,1031,1,0,0,0,1,1.8,211141,6600,1000,220117,,,,8376,0,9183,220094,0,0,0,0,0,9400,15,223,0,1300,0,49,30,2264,12064,315,1252,14482,2116,0,85,183,92,620,5,7195,0,2015
AK,AK0069,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,08,1,00,06,07,0,0,02,122,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,4311,1,0,0,2,3,5.75,626857,6600,7631,665422,238708,88731,327439,84439,1600,92114,524727,664,914873,0,1337227,1337227,44009,9773,3354,10496,1520,0,49,116,2600,64443,6214,10384,70735,27639,3684,47,270,149,3169,16,8171,10000,2015
AK,AK0070,AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,08,1,00,00,00,-148.977161,61.705952,02,170,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,NO,CO,SO,CO1,N,07/01/2013,06/30/2014,3884,1,0,0,0,1,1.75,307944,7712,923,316579,,,,14960,0,14960,316577,0,0,0,0,0,14209,9773,789,10496,1419,0,50,36,2132,21434,573,1044,16180,5768,1243,32,172,299,4345,7,4643,2649,2015
AK,AK0072,AK0072-002,TALKEETNA PUBLIC LIBRARY,08,1,00,00,00,-150.1080973,62.3215917,02,170,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9078617645,NO,CO,SO,CO1,N,07/01/2013,06/30/2014,10211,1,0,0,0,1.88,2.58,289554,6600,2500,298654,119702,100247,219949,30306,0,30306,297653,1290000,2660000,0,4480000,3978490,16380,9773,1333,10528,3158,0,50,43,2184,36990,2975,3938,61752,15242,4687,179,395,131,2370,11,8555,5222,2015
AK,AK0073,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,08,1,00,00,00,-151.957314,65.329839,02,290,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,229,1,0,0,0,.5,.5,5000,12649,2821,77108,,,,1950,0,3500,78651,0,0,0,0,0,9330,0,267,0,480,0,49,28,420,1360,270,229,1314,228,0,0,41,46,140,3,400,200,2015
AK,AK0074,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,08,2,00,00,15,-135.2169506,57.7800673,02,105,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,NO,CI,SO,CI1,N,07/01/2013,06/30/2014,128,1,0,0,0,.25,.25,10500,8460,10365,53533,,,,2694,0,4894,44764,0,0,0,0,0,6676,73,0,1,1115,0,49,1,800,2570,210,167,3128,877,9,0,19,41,615,8,318,0,2015
AK,AK0075,AK0075-002,TOK COMMUNITY LIBRARY,08,1,00,00,00,-142.214893,63.910262,02,240,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,NO,NP,SO,CI1,N,07/01/2013,06/30/2014,1246,1,0,0,0,0,0,0,7621,2821,36189,,,,3565,0,4228,33519,0,0,0,0,1853,11198,2,642,0,1494,0,49,10,1656,4028,284,348,3687,1513,0,0,36,5,132,4,1719,0,2015
