est_number,company,street,city,st,zip,phone,grant_date,activities,dbas
M46723+P46723,A Casa Enterprises LLC,4007 West Chester Pike,Newtown Square,PA,19073,(610) 356-4099,2015-11-24,"Meat Processing, Poultry Processing",A Casa Pizza
M40282+P40282,A Full Measure Catering,1995 Hwy 801 South,Advance,NC,27006,(336) 998-2364,2010-06-22,"Meat Processing, Poultry Processing",
M1184+P214,A G Specialty Foods,2600 SE Mailwell Dr.,Milwaukie,OR,97222,(503) 657-4339,2015-11-27,"Meat Processing, Poultry Processing",
M13375+P13375,"A La Carte Foods, Inc.",278 Ideal Street,Paincourtville,LA,70391,(985) 369-2677,2004-02-02,"Meat Processing, Poultry Processing",
M5386,A To Z Kosher Meat Prod's In,123 Grand Street,Brooklyn,NY,11249,(718) 384-7400,1993-04-29,Meat Processing,
M1689+P5607,"A to Z Portion Control Meats, Inc.",201 N. Main St.,Bluffton,OH,45817,(419) 358-2926,2016-01-29,"Meat Processing, Poultry Processing",
M34095+P34095,A-1 Meat Inc.,3219 Durfee Avenue,El Monte,CA,91732,(626) 579-2299,2015-01-28,"Meat Processing, Poultry Processing",
M9516+P9516,A. Altieri & Sons,318 East Airy Street,Norristown,PA,19401,(610) 275-3437,2008-08-12,"Meat Processing, Poultry Processing",
M6714+P6714,A. Concepcion Hnos,105 Aguila Street,Mayaguez,PR,680,(809) 832-4145,1993-02-09,"Meat Processing, Poultry Processing",
M580+V580,"A. Decoite Packing House, Inc.",3101 Kailiili Road,Haiku,HI,96708,(808) 572-0101,2006-11-02,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Old Town Products
M21888+P21888,"A. F. Wendling, Inc.",100 Wendling Plaza,Buckhannon,WV,26201,(304) 472-5500,2008-05-19,"Meat Processing, Poultry Processing",
M10102,"A. Gemmen & Sons, Inc.",11404 68th Avenue,Allendale,MI,49401,(616) 895-4333,2004-02-04,Meat Processing,
M17074+P17074,A. Gimenez Trading LLC,5 Wegmann Way,Oak Ridge,NJ,7438,(973) 697-2240,2006-11-30,"Meat Processing, Poultry Processing",
M4828+P4828,A. I. Foods,1700 North Soto St.,Los Angeles,CA,90033,(323) 222-0827,2003-04-23,"Meat Processing, Poultry Processing",AI Kitchen Specialties; Rizal Brand
I271,"A. N. Deringer, Inc.",178 West Service Road,Champlain,NY,12919,(518) 298-7465,2016-08-08,Imported Product,
I47,"A. N. Deringer, Inc.",438 Griffith Ave.,Sweetgrass,MT,59484,(406) 335-2342,2016-10-13,Imported Product,
M17582+P17582,A. S. K. Foods Inc.,77 N. Hetrick Avenue,Palmyra,PA,17078,(717) 838-6356,2012-10-23,"Meat Processing, Poultry Processing",
P9002,A. Tarantino & Sons,2275 Jennings Street,San Francisco,CA,94124,(415) 822-3366,2016-11-21,Poultry Processing,
M4653+P4653,A.A. Rubashkin & Sons,4310 14th Ave,Brooklyn,NY,11219,(718) 436-6328,1993-01-11,"Meat Processing, Poultry Processing",
M34635,A.B. Vannoy Hams,205 Buck Mountain Rd.,West Jefferson,NC,28694,(336) 246-3319,2008-03-19,Meat Processing,
M5934+P5934,A.F.I. Food Service L.L.C.,1 Ikea Drive CN 6070,Elizabeth,NJ,7207,(908) 629-1800,2007-02-20,"Meat Processing, Poultry Processing",Alliance Foodservice; Performance Food Group; PFG-A.F.I Foodservice
M21562+P21562,A.J. Cetak's Meat Market,100 North 15th Street Suite 1,Ord,NE,68862,(308) 728-3858,2013-03-29,"Meat Processing, Poultry Processing",
M6136+P334,"A.J. Sons, Inc.",2975 Laguna Canyon Road,Laguna Beach,CA,92751,(714) 497-1741,1991-01-10,"Meat Processing, Poultry Processing",
M27467+P27467+V27467,"A.J.'s Lena Maid Meats, Inc.",500 W. Main St.,Lena,IL,61048,(815) 369-4522,2003-08-15,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat",
M6639+P6639,"A.L. Beck & Sons, Inc.",505 Jones Rd.,Winston-Salem,NC,27107,(336) 788-9008,2002-03-14,"Meat Processing, Poultry Processing",
V18337,A.N. Deringer Inc.,178 West Service Road,Champlain,NY,12919,(518) 298-8281,2016-08-17,"Certification - Export, Identification - Meat, Identification - Poultry",
M19476+P19476+V19476,"A.N. Deringer, Inc.",438 Griffith Ave.,Sweetgrass,MT,59484,(406) 335-2342,2014-09-19,"Certification - Export, Identification - Meat, Identification - Poultry","A.N. Deringer, Inc."
M9551+P8410,A.S.K. Foods Inc.,140 N. Locust Street,Palmyra,PA,17078,(717) 838-6357,2012-10-23,"Meat Processing, Poultry Processing",
M34577+P34577,"A.T.A. Meat Company, Inc.",3698 1/2 NW 16th Street Bay G,Lauderhill,FL,33311,(561) 715-6874,2001-01-29,"Meat Processing, Poultry Processing",
M5911,A&M Packing LLC,368 Newton Swartswood Road,Newton,NJ,7860,(873) 383-4291,2011-03-17,"Meat Processing, Meat Slaughter",
M7885+P7885,A&S & Son,12 Church Street,Keansburg,NJ,7734,(732) 787-7798,2010-11-19,"Meat Processing, Poultry Processing",Liovalle LLC
M10801+P10801,"A&W Country Meats, Inc.",Rear 12 Middle Street,Taneytown,MD,21787,(301) 756-2420,2001-04-23,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M21492+P21492,AA Meat Products Inc.,3721 East Slauson Avenue,Maywood,CA,90270,(323) 277-9006,2016-04-21,"Meat Processing, Poultry Processing",
M44904+P44904,AA Meat Products Inc.,6544 Flotilla Street,Commerce,CA,90040,(323) 888-9955,2016-03-25,"Meat Processing, Poultry Processing",
M45525+P45525,"AA Poultry Processing, LLC",514 Cty AA,Ridgeland,WI,54763,(715) 455-1836,2015-10-02,"Poultry Processing, Poultry Slaughter",
M12425+P12425,"Aala Meat Market, Inc.",751 Waikamilo Road,Honolulu,HI,96817,(808) 832-6650,2010-05-27,"Meat Processing, Poultry Processing",
V21789,"Abanto Forwarding, Inc.",907 Produce Park Lane,Hidalgo,TX,78557,(956) 843-9884,2002-07-25,"Certification - Export, Identification - Meat, Identification - Poultry",
M44910+P44910+V44910,Abattoir Associates Inc.,119 Cooper Street,Spring Mills,PA,16875,(814) 422-8810,2012-09-26,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Rising Spring Meat Company
M10215+P10215,"Abbott's Meat, Inc.",3623 Blackington Avenue,Flint,MI,48532,(810) 232-7128,2004-05-28,"Meat Processing, Poultry Processing",
M1633A+P17764A,"Abbyland Foods, Inc.",323 Plaza Drive,Curtiss,WI,54422,(715) 223-6386,2012-11-05,"Meat Processing, Poultry Processing",
M1633+P17764+V1633,"Abbyland Foods, Inc.",508 E. Linden Street,Abbotsford,WI,54405,(715) 223-6386,2003-10-30,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat","Abbyland; Abbyland Foods; Abbyland, Inc."
M15896,"Abbyland Pork Pack, Inc.",539 North Meridian Street,Curtiss,WI,54422,(715) 223-4676,2004-07-07,"Meat Processing, Meat Slaughter",
M18747+P18747,Abe's Finest Meats,1122 Bronson Street,Palatka,FL,32177,(386) 328-5157,2016-09-13,"Meat Processing, Poultry Processing",
M48144,Abe's Kosher Meats LLC,1906 W. Main St.,Burley,ID,83318,(208) 678-9965,2015-12-28,"Meat Processing, Meat Slaughter",
M34250+P34250,"Abeles & Heymann, LLC",739 Ramsey Avenue,Hillside,NJ,7205,(908) 206-8886,2012-09-04,"Meat Processing, Poultry Processing",
M19478,"ABF Packing, Inc.",8758 S. US HWY 377,Dublin,TX,76446,(254) 968-4919,2006-07-18,"Meat Processing, Meat Slaughter",
V51224,Able Freight Services Inc.,332 East Grand Avenue,South San Francisco,CA,94080,(650) 877-0854,2016-06-16,"Certification - Export, Identification - Meat",
M45191,"Abner Snack Foods, Inc.",27926 School Street,Bell City,MO,63735,(573) 309-2120,2013-03-22,Meat Processing,
M45927,"Abner Snack Foods, Inc.",25157 Walnut St.,Bell City,MO,63735,(573) 309-2120,2016-07-28,Meat Processing,Papa's Jerky
M27494,Abuelito Meat Inc.,84 Market Street,Passcia,NJ,7055,(973) 345-3503,2009-11-24,Meat Processing,"Passaic Meat I, Inc."
M45140+P45140,Abundant Foods,6701 Stapleton Drive North,Denver,CO,80216,(303) 388-8080,2013-02-06,Meat Processing,
M2559+P2559,Academy Packing Co Inc,2881 Wyoming Street,Dearborn,MI,48120,(313) 841-4900,2002-02-12,"Meat Processing, Poultry Processing",
M13587+P13587,"Acadian Fine Foods, LLC",329 South Main Street,Church Point,LA,70525,(337) 684-6933,2012-09-18,"Meat Processing, Poultry Processing",
M40031+P40031,ACC Central Kitchen LLC,280 Jessup Road,Thorofare,NJ,8086,(856) 848-8877,2010-09-29,"Meat Processing, Poultry Processing",
V21842,Accu-Ray Inspection Services,211 Spangler Ave,Elmhurst,IL,60126,(708) 334-2454,2013-02-07,Food Inspection,
M39950+P39950,Achatz Handmade Pie Company LLC,30301 Commerce Blvd,Chesterfield,MI,48051,(586) 749-2882,2010-03-31,"Meat Processing, Poultry Processing",
M45366+P45366,Achatz Soup From Skratzch,6105 King Rd.,Marine City,MI,48039,(586) 727-1452,2016-07-13,"Meat Processing, Poultry Processing",
V45865,Acme Delivery Service,18101 E. Colfax Ave.,Aurora,CO,80011,(303) 340-2100,2016-07-06,"Identification - Meat, Identification - Poultry",Acme Distribution Centers and Howard Logistics
M19891,"ACME Jerky, LLC",5710 Lord Street,Scottsmoor,FL,32754,(321) 987-1238,2015-02-27,Meat Processing,
M6358,"Acoreana Manufacturing, Co.",210 Alden St.,Fall River,MA,2723,(508) 678-2098,1997-11-13,Meat Processing,Acoreana Mfg Co.; New England Sausage Co.
M19904+P19904,Acre Station Meat Farm,17076 Hwy 32 N,Pinetown,NC,27865,(252) 927-3700,2002-10-03,"Meat Processing, Meat Slaughter, Poultry Processing",
M40320+P40320,Acre Station Meat Farm,17076 Hwy 32 N,Pinetown,NC,27865,(252) 927-3489,2010-07-27,Meat Processing,
M33908+P33908,"Activ International, Inc.",256 Lackland Drive,Middlesex,NJ,8846,(732) 805-0335,2015-12-01,"Meat Processing, Poultry Processing",Summit Hill Flavors
M10031+P10031,Ada Valley Gourmet Foods,6210 E. Fulton,Ada,MI,49301,(616) 676-0767,2016-04-05,"Meat Processing, Poultry Processing",Classic Foods
M46837+P46837,"Adam Farms, LLC",184 Stiles Packing Lane,Murphy,NC,28906,(828) 837-5094,2014-10-06,"Meat Processing, Meat Slaughter, Poultry Processing",Adam Farms Processing LLC
M5497+V5497,Adams Farm Slaughterhouse LLC,854 Bearsden Rd,Athol,MA,1331,(978) 249-9441,2009-01-05,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M44198+P44198,Addielee's Inc.,2705 Bonds Ave.,North Charleston,SC,29405,(843) 566-7833,2013-01-18,"Meat Processing, Poultry Processing",
P45278,Adena Poultry,15045 NW 141st Ct. Q.B. 2,Williston,FL,32696,(352) 528-1287,2014-12-30,"Poultry Processing, Poultry Slaughter",
M44127+P44127,Adesa International LLC,1440 S. Vineyard Avenue,Ontario,CA,91761,(909) 241-3679,2016-04-27,"Meat Processing, Poultry Processing",
M44886,Adirondack Meat Co.,30 Commerce Dr,Ticonderoga,NY,12883,(518) 585-2333,2014-07-03,"Meat Processing, Meat Slaughter",
M34651+P34651,Adolf's Meat Products,35 New Britain Ave,Hartford,CT,6106,(860) 522-1588,2010-06-22,Meat Processing,
M19504+P19504,"Advance Pierre Foods, Inc",1725 Pine Avenue,Vineland,NJ,8360,(513) 500-4131,2016-11-16,"Meat Processing, Poultry Processing","Advance Brands LLC; Advance Food Company, Inc.; Allied Steaks; Barber Foods; Chef's Pantry; Clovervale Farms Inc.; Zartic, LLC"
M276A+P276A+V276A,"Advance Pierre Foods, Inc",56 Milliken St.,Portland,ME,4103,(207) 772-1934,2013-02-11,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",Advance Brands LLC; Advance Food Company Inc.; Advance Pierre Foods Inc.; Barber Foods; Butcher Made; Chef's Pantry Inc.; Clovervale Farms Inc.; Standard Fair; Sugar Ridge Farms; Zartic LLC
M276+P276,"Advance Pierre Foods, Inc.",70 Saint John Street,Portland,ME,4102,(207) 541-2800,2015-06-10,"Meat Processing, Poultry Processing",Advance Brands LLC; Barber Foods; Chef's Pantry Inc.; Cloverdale Farms Inc; Zartic LLC
M1980+P6869+V1980,AdvancePierre Foods,1833 Cooper Foster Park Road,Amherst,OH,44001,(440) 960-0146,2013-12-30,"Certification - Export, Meat Processing, Poultry Processing","Advance Brands, LLC; Advance Food Company, Inc; AdvancePierre Foods, Inc; Barber Foods; Chef's Pantry, Inc; Clovervale Farms, Inc; Zartic, LLC"
M48120+P48120+V48120,"AdvancePierre Foods, Inc",12 Tucker Drive,Caseyville,IL,62232,(618) 688-7203,2016-01-19,"Certification - Export, Meat Processing, Poultry Processing","Barber Foods; Chef's Pantry, Inc.; Cloverville Farms, Inc.; Zartic, LLC"
M19692+P19692,"AdvancePierre Foods, Inc.",4929 East Willow,Enid,OK,73701,(580) 237-6656,2013-12-04,"Meat Processing, Poultry Processing","Advance Brands, LLC; Advance Food Company, Inc.; Barber Foods; Chef's Pantry; Clovervale Farms, Inc.; Zartic, LLC"
M2132+P2132,"AdvancePierre Foods, Inc.",9990 Princeton - Glendale Road,Cincinnati,OH,45246,(513) 874-8741,2012-04-12,"Meat Processing, Poultry Processing",
M2260E+P2260E,"AdvancePierre Foods, Inc.",5110 Enterprise Blvd,Enid,OK,73701,(580) 237-6656,2013-12-04,"Meat Processing, Poultry Processing","Advance Brands, LLC; Advance Food Company, Inc.; Barber Foods; Chef's Pantry, Inc.; Clovervale Farms, Inc.; Zartic, LLC"
M2260G+P2260G,"AdvancePierre Foods, Inc.",206 East Pine,Enid,OK,73701,(580) 237-6656,2013-12-14,"Meat Processing, Poultry Processing","Advance Brands, LLC; Advance Food Company, Inc.; Barber Foods; Chef's Pantry, Inc.; Clovervale Farms, Inc.; Zartic, LLC"
M2260Y+P2260Y+V2260Y,"AdvancePierre Foods, Inc.",201 S. Raleigh Road,Enid,OK,73701,(580) 237-6656,2011-02-15,"Certification - Export, Meat Processing, Poultry Processing","Advance Brands, LLC; Advance Food Company, Inc.; Barber Foods; Chef's Pantry, Inc.; Clovervale Farms, Inc.; Zartic, LLC"
M3532+P3532+V3532,"AdvancePierre Foods, Inc.",3437 East Main Street,Claremont,NC,28610,(402) 917-7114,2013-12-06,"Certification - Export, Meat Processing, Poultry Processing",
M40193+P40193+V40193,"AdvancePierre Foods, Inc.",5109 W. Willow,Enid,OK,73701,(580) 237-6656,2011-02-23,"Certification - Export, Identification - Meat, Identification - Poultry",
V31878,"Advertising Resources, Inc",11601 S. Central,Alsip,IL,60803,(708) 293-1926,2004-09-21,"Identification - Meat, Identification - Poultry",
M51183+P51183,Afandina Halal,23-10A 38th Avenue,Long Island City,NY,11101,(646) 919-4532,2016-08-11,"Meat Processing, Poultry Processing",
M15825+P15825,"AFS Classico, LLC",507 34th Ave.,Rock Island,IL,61201,(309) 786-8833,2013-01-17,"Meat Processing, Poultry Processing",Mama Bosso Pizza
M40161+P40161,"Afya Brands International, Inc.",2781 US Route 5 North,Windsor,VT,5089,(603) 676-8591,2016-01-28,"Meat Processing, Poultry Processing",Global Village Cuisine
M18342+P18342,AG Food Products Corp.,35 Marcus Boulevard,Hauppauge,NY,11788,(631) 778-6130,2015-11-04,"Meat Processing, Poultry Processing",
V18803,AGA Investments Inc.,8640 Siempre Viva Road,San Diego,CA,92154,(619) 710-1863,2011-10-12,"Certification - Export, Identification - Meat, Identification - Poultry",
M45230,Against The Grain Gourmet,22 Browne Court Unit #119,Brattleboro,VT,5301,(802) 258-3838,2014-10-15,Meat Processing,
M4653A+P4653A+V4653A,"Agri Star Meat and Poultry, LLC",220 West Street,Postville,IA,52162,(563) 864-7811,2011-02-23,"Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",Aaron's Beef; Agriprocessors; Iowa Best Beef; Shor Harbor
V45391,Agro Merchant Group Inc.,1125 Newton Way,Summerville,SC,29483,(404) 395-6889,2016-03-04,"Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Egg Products, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
I5,Agro Merchants Group Charleston LLC,1125 Newton Way,Summerville,SC,29483,(843) 486-1126,2016-06-27,Imported Product,"Agro Merchant 's Group, Inc."
M19190+P19190+V19190,AGRO Merchants Oakland LLC,860 81st Avenue,Oakland,CA,94621,(510) 878-7055,2008-06-25,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing",
M44102+P44102+V44102,AGRO Merchants Oakland LLC,940 81st Sreet,Oakland,CA,94621,(510) 878-7055,2014-12-03,"Certification - Export, Identification - Meat, Identification - Poultry",Dean's Services
I540,"AGRO Merchants Oakland, LLC",940 81st Street,Oakland,CA,94621,(510) 878-7055,2016-05-11,Imported Product,
V46840A,Airfrigo USA Inc/Seafrigo Coldstorage Fairmont,900 Fairmont Avenue,Elizabeth,NJ,7201,(201) 770-1143,2016-08-29,"Certification - Export, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M18356B+P18356B,"Ajinomoto Toyo Frozen Noodle, Inc.",6500 North Marine Drive,Portland,OR,97203,(503) 956-5813,2016-08-04,"Meat Processing, Poultry Processing",
M20069+P20069,Ajinomoto Windsor Inc.,2395 American Avenue,Hayward,CA,94545,(510) 293-1838,2015-04-27,"Meat Processing, Poultry Processing",Ajinomoto North America; Amoy North American; Discovery Foods; Golden Tiger; Windsor Foods
V18356A,Ajinomoto Windsor Inc.,4901 SE 24th,Portland,OR,97202,(503) 847-2227,2015-08-06,"Certification - Export, Identification - Meat, Identification - Poultry",
M1623A+P5811+V1623A,"Ajinomoto Windsor, Inc.",5695 S. Davinci Lane,Carthage,MO,64836,(417) 358-8104,2013-05-29,"Certification - Export, Meat Processing, Poultry Processing",Ajinomoto North America; Amoy North American; Discovery Foods; Golden Tiger; Windsor Foods
M18356+P18356,"Ajinomoto Windsor, Inc.",7124 N Marine Drive,Portland,OR,97203,(503) 734-1526,2015-04-01,"Meat Processing, Poultry Processing",Ajinomoto Frozen Foods USA; Ajinomoto North America; Amoy North America; Discovery Foods; Golden Tiger; Windsor Foods
M20069A+P20069A,"Ajinomoto Windsor, Inc.",2188 Alpine Way,Hayward,CA,94545,(510) 293-1838,2015-04-27,"Meat Processing, Poultry Processing",
M21225+P21225,"Ajinomoto Windsor, Inc.",5200 Gold Spike Road,Fort Worth,TX,76106,(817) 344-7130,2015-04-01,"Meat Processing, Poultry Processing",Ajinomoto North America; Amoy North America; Discovery Foods; Golden Tiger; VIP Foods; Windsor Foods
M34708+P34708+V34708,"Ajinomoto Windsor, Inc.",10646 Highway 51 P O Box 179,Oakland,MS,38948,(662) 623-7400,2012-01-10,"Certification - Export, Meat Processing, Poultry Processing",Ajinomoto North America; Amoy North American; Discovery Foods; Golden Tiger; Windsor Foods
M5590+P5590,"Ajinomoto Windsor, Inc.",601 East Third Street,Lampasas,TX,76550,(512) 556-5454,2015-04-01,"Meat Processing, Poultry Processing",Ajinomoto North America; Amoy North American; Discovery Foods; Golden Tiger; Windsor Foods
M5688+P5688+V5688,"Ajinomoto Windsor, Inc.",301 W. 3rd St.,Toluca,IL,61369,(815) 452-2361,2010-06-04,"Certification - Export, Meat Processing, Poultry Processing",Ajinomoto North America; Amoy North American; Discovery Foods; Golden Tiger; Windsor Foods
M45766+P45766,Ajuua,14150 E. Iliff Ave.,Aurora,CO,80014,(720) 747-0764,2015-12-24,"Meat Processing, Poultry Processing",Ajuua Mexican Restaurants; LG RG & SG Inc.
M44182+P44182,Al - Baghdadi Food Inc.,24280 Mound Rd.,Warren,MI,48091,(248) 548-1390,2014-03-11,Meat Processing,
M5906+P5906,Al & John Inc.,147 Clinton Road,West Caldwell,NJ,7006,(973) 742-4990,2012-11-30,Meat Processing,Freda; Glen Rock; Kohler
M9046+P9046,Al Lunardi & Son's Meat Co Inc,570 Williams St.,San Leandro,CA,94577,(510) 483-3273,2011-10-17,"Meat Processing, Poultry Processing",
M19160+P19160,Al Shabrawy Inc.,45 Ferry Street,South River,NJ,8882,(732) 238-0428,2012-12-12,"Meat Processing, Poultry Processing",
M9672+P9672,Al-Marwa L. L. C.,670 East Cherry Road,Quakertown,PA,18951,(215) 536-6050,2008-04-15,"Meat Processing, Meat Slaughter",
M10760,Al's Hickory House BBQ,1952 Wartrace Pike,Shelbyville,TN,37160,(615) 684-4191,2011-11-02,Meat Processing,
M4911+P4911A,"Al's Wholesale Meats, Inc.",1915 N. Broadway,Los Angeles,CA,90031,(323) 223-3855,2005-07-29,"Meat Processing, Poultry Processing",
M51210,Alabama CatfishLLC,1260 Washington Street,Uniontown,AL,36786,(334) 628-3474,2016-01-15,"Meat Processing, Meat Slaughter",Harvest Select Catfish
M20898+P20898,Alaska Commercial Co.,6135 Mike Street,Anchorage,AK,99516,(907) 273-4600,1999-07-22,Meat Processing,Anchorage Processing Center; North Star Quality Meats
M19556+V19556,"Alaska Natural Meats, Ltd.",Fort Glen,Umnak Island,AK,99685,(403) 931-3583,1997-01-29,"Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M17866+P17866,"Alaska Sausage Company, Inc.",2914 Arctic Blvd.,Anchorage,AK,99503,(907) 562-3636,1990-11-06,Meat Processing,Alaska Sausage & Seafood
P32174,Alatrade Foods,200 Tyson Drive,Albertville,AL,35950,(256) 593-3152,2005-05-23,Poultry Processing,
P34453,Alatrade Foods,6 Downings Drive,Phenix City,AL,36869,(334) 664-0448,2007-11-14,Poultry Processing,
P20699A,Alatrade Foods LLC,695 W. Henderson Road,Boaz,AL,35957,(256) 593-3152,2011-12-21,Poultry Processing,
V45311,Alba Cold Storage,1705 E. Mills Avenue,El Paso,TX,79901,(915) 351-0991,2013-11-07,"Certification - Export, Identification - Meat, Identification - Poultry",
M687+V687,Albert Lea Select Foods Inc.,2410 Y.H. Hanson Ave.,Albert Lea,MN,56007,(507) 434-6300,1997-05-01,"Certification - Export, Meat Processing",
M18821,Alberto's Meat Shop,2595 Commerce Way,Vista,CA,92081,(760) 439-1663,2013-07-05,Meat Processing,
M11509+P11509,Albertville Quality Foods,130 Quality Drive,Albertville,AL,35950,(256) 840-9923,2006-02-15,"Meat Processing, Poultry Processing",
M21838+P21838,Albertville Quality Foods,P O Box 753 5000 United States Hwy 431 South,Albertville,AL,35950,(256) 894-3339,2004-08-12,"Meat Processing, Poultry Processing",
M10100+P10100,"Albie's Foods, Inc.",1534 O'Rourke Blvd,Gaylord,MI,49735,(989) 732-2800,2016-09-14,"Meat Processing, Poultry Processing","CA, Curtze; Claire's Gourmet; Copper Harbor; Grand Duchess; Krista's Gourmet Favorites; National Food Group; Piepers Pies; Vollwerth"
