FMID,MarketName,street,city,County,State,zip,longitude,latitude,Organic
1010873,21st Street Farmers Market,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,-95.714514,39.028184,Y
1005309,22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.181286,39.932257,N
1000709,22nd Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,-73.994358,40.404837,N
1011881,25th Street Market - North Logan at the Library Summer 2016,475 East 2500 North,North Logan,Cache,Utah,84341,-111.8206049,41.7782437,-
1010966,26th and Allegheny,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,-75.1722883,40.0040946,N
1005299,29th and Wharton Farmers' Market,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373,N
1010994,2nd Street Farmers' Market,194 second street,Amherst,Amherst,Virginia,24521,-79.048573,37.583311,N
1009959,2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.181030,39.762593,Y
1004950,3 French Hens French Country Market,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,-88.425186,41.356383,Y
1010775,30A Farmers' Market,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,-86.002754,30.279017,-
1012342,31 & Main Farmers Market at Campus Town,1928 Pennington Road,Ewing,Mercer,New Jersey,08618,-74.783264,40.267025,Y
1005636,32nd Street/Waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.3272,Y
1005310,33rd and Diamond Farmers' Market,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.187167,39.988802,N
1018014,38th & Meridian Farmer's Market ,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,-86.1575468,39.8255595,-
1012280,39 North Marketplace,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,-119.754962,39.534773,-
1004414,3rd & Curry St. Farmers Market,3rd & Curry Street,Carson City,Carson City,Nevada,89703,-119.7678,39.16257,Y
1011213,441 Ministries Farm Stand,441 Parsells Avenue,Rochester,Monroe,New York,14609,-77.5666043,43.1658344,N
1010965,4th and Lehigh Farmers' Market,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,-75.138654,39.991748,N
1006234,4th Street Farmers Market,315 East 4th St.,Larimer,,Colorado,,-105.073,40.3954,-
1006494,52 & Shadeland Avenue Farmers Market,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,-86.0476,39.8481,-
1005304,52nd and Haverford Farmers' Market,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.224492,39.965054,N
1000060,57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.985839,40.768159,N
1005306,58th and Chester Farmers' Market,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228303,39.935721,N
1011895,61st Street Farmers Market,6100 S Blackstone Ave,Chicago,Cook,Illinois,60637,-87.5905903,41.7841364,Y
1012500,6th Street Market in Downtown Tempe,6th Street and Mill Avenue,Tempe ,Maricopa,Arizona,85281,-111.939512,33.424420,Y
1000061,79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818,N
1000062,82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.950090,40.773749,Y
1008391,84 west farmers market (Dothan),,Dothan,Houston,Alabama,,-85.449944,31.232252,N
1001961,8th Avenue City Farmers Market,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.6626534,41.9728370,-
1000063,92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946421,40.780931,Y
1000064,97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,-73.9670120,40.7935600,N
1011989,9th and Grand Farmers Market,304 West Grand Avenue,Salina,Saline,Kansas,67401,-97.6117504,38.8528359,N
1000986,9th West Farmers Market/People's Market ,1060 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110,-111.9195223,40.7470177,N
1010617,A + Organic Farmers Market,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473,-80.221052,26.489351,Y
1001683,A Better Choice Bakery & Market,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,-77.6277075,39.3130660,Y
1009004,A Growers' Market,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,-84.2792304,30.4624713,Y
1001887,AAFFA Community Farmers Market,402 North Murray Avenue,Anderson,Anderson,South Carolina,29624,-82.652159,34.506706,-
1007585,AAMC Farmers's Market,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,-76.6123,39.006,-
1004573,Abbeville Farmers Market,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,-82.380242,34.177429,N
1009028,ABBEVILLE FARMERS MARKET,Kirkland Street,Abbeville ,Henry,Alabama,,-85.250365,31.571271,-
1004598,Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,-90.307145,44.945665,-
1003865,Abbott Northwestern Farmers Market,800 E 28th St,Minneapolis,Hennepin,Minnesota,,-93.2629,44.9556,-
1002947,Aberdeen Farmers Market,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,57401,-98.4866,45.4631,-
1004031,Abilene Farmers Market,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,67410,-97.2139,38.9153,-
1010487,Abingdon Farmers Market,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24210,-81.977094,36.708934,Y
1000065,Abingdon Square Greenmarket,W12 St. & 8th Ave,New York,New York,New York,10014,-74.005280,40.737177,Y
1006988,Abington,362 Plymouth Street,Abington,Plymouth,Massachusetts,02351,-70.9369,42.119,N
1007070,Abington Farmers Market,12055 Rose Drove,Clarks Summit,Lackawanna,Pennsylvania,,-75.7746,41.425,-
1011313,Abita Springs Farmers Market,22049 Main St.,Abita Springs,St. Tammany,Louisiana,70420,-90.0389129,30.4793215,-
1004762,ABQ Uptown Growers' Market,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,,-106.565838,35.103988,-
1009543,ABV Farm Market,690 Allegheny Road,Mount Bethe,,Pennsylvania,18343,-75.0998,40.8743,-
1002108,Acadia Farmers' Market in Town Hill,,Town Hill,Hancock,Maine,,-68.9716,44.5908,-
1007575,Acadiana Farmers Market,801 Foreman Drive,Opelousas,Lafayette,Louisiana,70570,-92.0634,30.2147,-
1005122,Ace Farmers Market,115 Black River Blvd,Rome,Oneida,New York,,-75.4541,43.2098,-
1008461,Acme Ranch Truck Patch,RR1 Box 146,Birch Tree,Shannon,Missouri,65438,-91.492638,36.991165,-
1011180,Acreage Green Market,6701 140th Ave. North,Loxahatchee,Palm Beach,Florida,33470,-80.263351,26.775639,-
1003469,Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,01720,-71.47415,42.47518,N
1018003,Acushnet Farmers Market,186 Leonard Street,Acushnet,Bristol,Massachusetts,02743,-70.9008560,41.7200523,-
1007519,Acworth Farmers Market,Main and Lemon Streets,Acworth,Cobb,Georgia,,-84.6767,34.0657,-
1001393,Ada Farmer's Market,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,-96.679869,34.773589,-
1001083,Ada Farmers' Market,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,-85.4889683,42.9553715,-
1006969,AdairCo Farmers Market,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Adair County,Kentucky,,-85.297,37.1043,-
1010467,Adairsville Farmers' Market,7446 Ga 140,Adairsville,Bartow,Georgia,30103,-84.929569,34.375727,Y
1011322,Adams County Farmers' Market Association (PA),Lincoln Square ,Gettysburg,Adams,Pennsylvania,17325,-77.230764,39.830706,Y
1017937,Adams County Farmers' Market Association (PA),103 Carlisle Street ,Gettysburg borough,Adams,Pennsylvania,17325,-77.229340,39.834024,N
1010354,Adams Farmers' & Artisans' Market,Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,01220,-73.1180030,42.6244919,Y
1008006,Adams Morgan Farmers Market,18th St. and Columbia Rd. NW,Washington,District of Columbia,District of Columbia,20009,-77.042643,38.922637,N
1008961,Adaptations' Fresh Feast,79-7500 Mamalahoa Highway,Kealakekua,Hawaii,Hawaii,96750,-155.9235580,19.5257570,Y
1005109,Added Value Farm Stand at Governors Island,Gresham Rd,Brooklyn,Kings,New York,11231-1235,-74.0231,40.6875,-
1002464,Addison Farmers Market,One Friendship Plaza,Addison,DuPage,Illinois,60101,-87.9934,41.9321,-
1005741,Adel Farmers Market,Courthouse Square,Adel,Dallas,Iowa,50830,-94.0175,41.6144,-
1005272,Adelanto Stadium Farmers Market,Hwy 395 & Rancho Drive,Victorville,San Bernardino,California,92392,-117.405,34.5593,-
1012288,Adrian Farmers Market,115 Toledo Street,Adrian ,Lenawee,Michigan,49221,-84.034589,41.900169,N
1011214,Aenon Baptist Church Farm Stand,175 Genesee Street,Rochester,Monroe,New York,14611,-77.6360764,43.1466026,N
1008667,Afton Village Farmers Market,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,-80.670172,35.414038,N
1007586,AGH Wellness Committee Farmer's Market,9733 Healthway Drive,Berlin,Worcester,Maryland,21811,-75.2113,38.3388,-
1012233,Agricenter International Farmers Market,7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120,-89.8037477,35.1288660,Y
1003562,Agritopia Farm Stand,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.726215,33.321658,Y
1011830,Ahwatukee Farmers Market,4700 E. Warner Rd,Phoenix,Maricopa,Arizona,,-111.983242,33.331331,-
1000212,Aiken County Farmers Market,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.7084941,33.5568819,Y
1008054,Airport Farmers and Flea Market,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,-82.441117,28.481140,-
1007542,Akebono Farmers’ Market,Akebono Parking Lot,Pahoa,Hawaii County,Hawaii,,-154.951,19.4975,-
1011967,Akers of Strawberries,1054 Melton Road,Baker,Okaloosa,Florida,32531,-86.7012813,30.7986832,Y
1001801,Akron Farmers Market,City Park,Akron,Plymouth,Iowa,51031,-96.5573,42.8309,-
1005061,Akwesasne Farmers Market,"469 State Route 37, across from Akwesasne Sports",Hogansburg,Franklin,New York,,-74.6677,44.9739,-
1004086,Alabama Gulf Coast Market,22250 Perdido Beach Boulevard,Gulf Shores,Baldwin,Alabama,36542,-87.655850,30.250746,N
1008612,Alachua County Farmers' Market,5920 NW 13th Street,Gainesville,Alachua,Florida,32653,-82.352515,29.710665,Y
1006312,Alamance County Farmers Market,200 S. Main St.,Burlington,Alamance,North Carolina,27215,-79.4357,36.0943,-
1009019,Alameda Farmers' Market,Haight and Webster St.,Alameda,Alameda,California,,-122.276762,37.774248,Y
1004846,Alamo Farmers Market,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075,N
1011033,Alamogordo Farmers' Market in Alameda Park,1987 White Sands Blvd (next to Toy Train Depot),Alamogordo ,Otero,New Mexico,88310,-105.9609907,32.9140955,Y
1004789,Alamogordo Otero County Farmers' Market,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,,-105.9606,32.92649,-
1004070,Alamosa Farmers Market,Corner of 6th Street and State Avenue's Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101,-105.865236,37.468359,Y
1004425,Albany  Downtown Farmers Market,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.15366,31.57684,Y
1002175,Albany Farmers' Market,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321,-123.1061,44.6349,Y
1011108,Albert Lea Farmers Market,104 North Broadway,Albert Lea,Freeborn,Minnesota,,-93.368932,43.650895,Y
1003118,Alberta Farmers Market,1500 NE Alberta Street,Portland,Multnomah,Oregon,97211,-122.65,45.5591,-
1004886,ALBERTA FARMERS MARKET,21724 Highway 5 ,ALBERTA,WILCOX,Alabama,36720,-87.4101,32.2319,-
1010559,Albion Farmer's Market,211 Market Place,Albion,Cass,Michigan,49224,-84.751569,42.243544,N
1010407,Albuquerque Downtown Growers' Market,800 Central Ave,Albuquerque ,Bernalillo,New Mexico,87102,-106.656893,35.085972,Y
1004761,Albuquerque Northeast Farmers' Market,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,,-106.557620,35.150600,-
1007016,Albuquerque VA Growers' Market,1501 San Pedro Drive SE,Albuquerque,Bernalillo,New Mexico,,-106.578,35.0553,-
1002222,Alcona Farmers Market,320 S. State Steet   (US23),Harrisville,Alcona,Michigan,48740,-83.2973,44.6547,N
1008252,Alderson Farmers Market ,Rt. 3  Main Street,Alderson ,Greenbrier,West Virginia,24910,-80.642024,37.725954,Y
1003236,Aldrich Arena Farmers Market,1850 White Bear Ave.,Maplewood,Ramsey,Minnesota,55109,-93.0877,44.9609,-
1011910,Aledo Farmers Market,128 Elm Street,Aledo,Parker,Texas,76008,-97.602554,32.696496,Y
1010597,Alexander County Farmers Market,280 NC Hwy 16 South,Taylorsville ,Alexander,North Carolina,28681,-81.178122,35.919748,N
1000519,Alexandria Bay Farmers Market,Route 12,Alexandria Bay,Jefferson,New York,13607,-75.9157,44.3314,-
1007366,Alexandria Farmers' Market,2nd and Broadway,Alexandria,Douglas,Minnesota,56308,-95.376059,45.890740,N
1011196,Alfred Farmers Market,Bandstand Main Street,Alfred,Allegany,New York,14802,-77.789505,42.253557,Y
1007217,Algoma Farm Market,SECOND ST. & CLARK STREET,Algoma,Kewaunee,Wisconsin,,-87.4363,44.6077,-
1001300,Algonquin Farmers Market,Washington St & S Harrison St.,Algonquin,,Illinois,60102,-88.293,42.165,-
1007528,Alii Garden Market Place,75-6129 Alii Drive,Kailua-Kona,,Hawaii,96740,-155.982,19.6144,-
1008835,Alisal Certified Farmers' Market,632 East Alisal Street,Salinas,Monterey,California,93905,-121.634178,36.673319,Y
1005548,All Locally Grown Produce,19051 Sw 147 Ave,Homestead,Miami-Dade,Florida,33187,-80.430378,25.507880,-
1011735,All Natural & Certified Organic Farmer Market (HOPE FARM),19833 Morris RD ,Harlingen ,Cameron,Texas,78552,-97.704718,26.155226,Y
1010096,All Saints' Farmers Market,1508 S. White Station,Memphis,Shelby,Tennessee,38117,-89.890478,35.090458,-
1000268,All-Local Farmers Market,711 Whaley St,Columbia,Richland,South Carolina,29205,-81.0358,33.9847,-
1000168,All-Local Farmers Market 2,Rosewood market on Rosewood Drive at Maple Street,Columbia,Richland,South Carolina,,-81.0044,33.9874,-
1001962,Allamakee Farmers Market,705 Allamakee Street,Waukon,Allamakee,Iowa,52172,-91.475223,43.276279,N
1002717,Allegan Farmers Market,Water Street & Cutler Street,Allegan,Allegan,Michigan,49010,-85.849658,42.529649,N
1008262,Alleghany Farmers Market,HWY 18 N,Sparta,Alleghany,North Carolina,28675,-81.122593,36.503003,N
1002836,Allen County Farmers' Market,4-20 S. Washington St.,Iola,Allen,Kansas,66749,-95.4055011,37.9221650,-
1011777,Allen Farmers Market,1629 E Kalamazoo,Lansing,Ingham,Michigan,48912,-84.5263803,42.7302387,Y
1007413,Allendale County Farmers Market,Corner of Bay Street & US Highway 301,Allendale,Allendale,South Carolina,29810,-81.3191,33.0044,-
1007716,Allentown Farigrounds Farmers Market,1825 Chew Street,Allentown,Lehigh,Pennsylvania,18104,-75.4942,40.6008,-
1007083,Allentown Turnpike Plaza Farmers Market,Route 9,Allentown,Lehigh,Pennsylvania,18104,-79.7254,40.6218,-
1002964,Alliance Farmers Market,3rd & Box Butte Ave.,Alliance,Box Butte,Nebraska,69301,-102.871,42.0971,-
1005675,Alliance Farmers' Market,Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601,-81.1024,40.9216,N
1006739,Alliance for the Arts GreenMarket,10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919,-81.89128,26.59521,Y
1002683,Allston Farmers' Market,175 North Harvard Street,Allston,Middlesex,Massachusetts,02134,-71.1299,42.3629,Y
1005134,Allston Village Farmers Market,500 Cambridge St.,Boston,Suffolk,Massachusetts,02134,-71.1378418,42.3533840,N
1006816,Alma Farmers Market,"City Auditorium on Main Street, Downtown",Alma,Harlan,Nebraska,68920,-99.3625,40.1008,-
1002250,Alma Farmers' Market,Pine & Downie Streets,Alma,Gratiot,Michigan,48801,-84.6569840,43.3802699,Y
1007836,Almont Farmers' Market,Van Dyke at School Street (northwest corner),Almont,Lapeer County,Michigan,,-83.0475,42.9216,-
1012389,Aloha Community Farmers' Market,17675 SW Farmington Rd and SW Kinnaman Rd,Aloha,Washington,Oregon,97007,-122.860524,45.482127,-
1010476,Alpena Farmers' Market,208 N 1st Ave.,Alpena ,Alpena,Michigan,49707,-83.430998,45.061878,Y
1005447,Alpha Nursery Farmers' Market,"12 Alpha Lane,",Cascade,Valley,Idaho,83611,-115.998,44.4251,-
1009792,Alsip Farmers Market,12521 S. Kostner Avenue,Alsip,Cook,Illinois,60803,-87.727804,41.664913,Y
1009998,Altadena Farmers' Market,600 W. Palm Street,Altadena,Los Angeles,California,91001,-118.1581301,34.2003788,Y
1004383,Altamont Farmer's Market,Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.0325,42.7013,-
1000357,Altavista Farmers Market,Trade Lot,Altavista,Campbell,Virginia,24517,-79.2838,37.1185,-
1006749,Alton Farmers' and Artisans' Market,551 Landmarks Blvd.,Alton,Madison,Illinois,62002,-90.1780932,38.8887926,-
1004154,Altoona Farmers Market,Heritage Plaza,Altoona,Blair,Pennsylvania,16601,-78.2462,40.6787,-
1001100,Altus Farmers Market,1116 North Main ST,Altus,Jackson,Oklahoma,73521,-99.3336,34.6491,N
1011421,Alum Rock Village Farmers' Market,57 North White Road,San Jose,Santa Clara,California,,-121.833288,37.367770,Y
1001733,Alva Farmers Market,102 North 2d,Alva,Woods,Oklahoma,73717,-98.6602,36.8083,-
1005644,Amador Farmers' Market-- Jackson,Jackson Library/ True Value,Jackson,Amador,California,95642,-120.7741018,38.3488023,-
1005645,Amador Farmers' Market-- Pine Grove,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665,-120.7741018,38.3488023,-
1005646,Amador Farmers' Market-- Sutter Creek,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,-120.7741018,38.3488023,-
1001826,Ambridge Farmers Market,St. Mary's Church Parking Lot,Ambridge,Beaver,Pennsylvania,15003,-80.225,40.5819,-
1008321,Amelia Barter Town Farmers Market,Farmers Market at the Fairgrounds,Amelia Court House ,Amelia,Virginia,23002,-77.9805478,37.3426037,Y
1008399,Amelia Farmers Market,6800 First Coast Hwy,Amelia Island,Nassau,Florida,32034,-81.454531,30.579786,-
1006373,Amenia Farmers Market,4988 Route 22,,Dutchess,New York,,-73.5549,41.8513,-
1001367,American National Bank Downtown Farmers Market Festival,5th and Rood Avenue,Grand Junction,,Colorado,,-108.564,39.0682,-
1005946,Amerisafe Downtown Pavilion & Farmers Market,120 North Washington Av,DeRidder,,Louisiana,70634,-93.2862,30.8469,-
1005188,Amery Farmers Market,Sooline Park,Amery,Polk,Wisconsin,54001,-92.3624,45.3072,-
1011171,Ames Main Street Farmers' Market,300 & 400 Blocks of  Main Street,"Ames, IA",Story,Iowa,50010,-93.614943,42.025222,Y
1000284,Amherst Farmers' Market,Spring Street Parking Lot,Amherst Center,Hampshire,Massachusetts,01002,-72.519422,42.374858,Y
1006748,Amherst Wednesday Market at Kendrick Park,Kendrick Park Intersection of North and East Pleasant st.,Amherst,Hampshire,Massachusetts,01004,-72.519778,42.379974,Y
1009833,Amherst Winter Farmers' Market,170 Chestnut Street,Amherst,Hampshire,Massachusetts,01002,-72.5111050,42.3848660,Y
1001135,Amma Farmers Market,Amma Senior and Community Center,Amma,Roane,West Virginia,25252,-81.255883,38.583305,N
1010105,Amqui Station Farmers Market,301 B Madison Street,Madison,Davidson,Tennessee,37115,-86.716950,36.258501,-
1016853,Amsterdam Saturday Farmers/Crafters Market,100 Church St,Amsterdam ,Montgomery,New York,12010,-74.184900,42.939627,N
1012157,Anaconda Community Market,Kennedy Commons (306 Main),Anaconda,Deer Lodge,Montana,59711,-112.954123,46.127980,N
1005944,Anacortes Farmers Market,611 R Avenue,Anacortes,Skagit,Washington,98221,-122.609181,48.516974,Y
1001105,Anamoose Market in the Park,Main Street,Anamoose,McHenry,North Dakota,58710,-100.240610,47.880722,N
1003055,Anamosa Farmers Market,Corner of Scott and Main Streets,Anamosa,Jones,Iowa,52205,-91.2795,42.1083,-
1007258,Anchorage Farmers Market,1420 Cordova Street,Anchorage,Anchorage,Alaska,99645,-149.880724,61.208059,-
1002640,Anchorage Market & Festival,3rd Avenue and E Street,Anchorage,Anchorage,Alaska,99501,-149.891,61.2195,N
1016848,Anderson City Market,802 E. 5th St. ,Anderson,Madison,Indiana,46012,-85.6691170,40.1110630,-
1008251,Anderson County Farmers Market,402 N. Murray Ave.,Anderson,Anderson,South Carolina,29621,-82.652151,34.506798,Y
1008727,Anderson County Farmers Market ,1505 Bypass US 127 North,Lawrenceburg ,Anderson,Kentucky,40342,-84.918057,38.074839,-
1000971,Anderson Farm Market,1240 Clifton Rd,Xenia,Greene,Ohio,45385,-83.8824,39.7668,-
1004991,Anderson Farmers' Market,7832 Five Mile Road,Cincinnati,Hamilton,Ohio,45230,-84.350563,39.078533,N
1002089,Anderson Happy Valley Farmers Market,Happy Valley Rd.,Anderson,Shasta,California,96007,-122.408,40.4487,-
1003516,Andersonville Farmers Market,1500 W. Berwyn Ave.,Chicago,Cook,Illinois,60640,-87.6687,41.978,Y
1007647,Andover Farmers Market,13655 Round Lake Blvd. NW,Andover,Anoka,Minnesota,,-93.3573105,45.2192618,-
1012040,Andover Farmers' Market,97 Main Street,Andover ,Essex,Massachusetts,01810,-71.139578,42.653441,-
1000287,Andrews Farmers Market,First Street,Andrews,Cherokee,North Carolina,,-83.8232,35.2027,-
1006378,Angelica Farmers' Market,"Park Circle, Main Street",Angelica,Allegany,New York,14709,-78.015956,42.306061,-
1010280,Angelina County Farmers Market,2107 S Medford Dr ,Lufkin ,Angelina,Texas,75901,-94.697749,31.321061,-
1006268,Angels Camp Farmers Market-Fresh Fridays,"Utica Park, Utica Lane",Angels Camp,Calaveras,California,95222,-120.542700,38.072158,Y
1010223,Ann Arbor Farmers Market,315 Detroit Street,Ann Arbor,Washtenaw,Michigan,48104,-83.746653,42.283836,Y
1010380,Anna House Farm Stand,2150 Hempstead Tpke,Elmont ,Nassau,New York,11003,-73.716466,40.708292,N
1001782,Anna/Union County Farmers Market,1150 E Vienna St.,Anna,Union,Illinois,62906,-89.2093,37.4604,-
1012588,Annandale Farmers Market ,6621 Columbia Pike ,Annandale,Fairfax,Virginia,22003,-77.1743282,38.8348371,N
1006800,Annapolis FRESHFARM Market,Compromise Street,Annapolis,Anne Arundel,Maryland,21401,-76.48621,38.97658,-
1001142,Anne Arundel County Farmers' Market  (Riva),Riva Road & Harry S Truman pkwy,Annapolis,Anne Arundel,Maryland,21401,-76.5556,38.9763,Y
1004881,Anne Heyliger Vegetable Market,Queen Cross Street,Saint Croix,Frederiksted,Virgin Islands,,-64.8799,17.7099,-
1001465,Anoka County Growers Association/ Anoka Market,420 E. Main Street,Anoka,Anoka,Minnesota,55303,-93.3842610,45.1977260,-
1007646,Anoka County Growers/ St. Timothy Church Blaine,707 89th Ave. NE,Blaine,Anoka,Minnesota,,-93.2525239,45.1330400,-
1007636,Anoka County Growers/Immaculate Conception Church,40th and Jackson Street,Columbia Heights,Anoka,Minnesota,,-93.2459,45.0489,-
1000306,Anselma Farmers' and Artisans' Market,1730 Conestoga Road/Rt 401,Chester Springs,Chester,Pennsylvania,19425,-75.641899,40.079648,Y
1000405,Anson County Farmers Market,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,-80.052567,34.940829,N
1011248,Antelope Valley Winery Farmer's Market ,42041 20th St. West,Lancaster,Los Angeles,California,93534,-118.1662288,34.6470421,Y
1012651,Anthem Farmers Market,41703 N. Gavilan Peak Pkwy,Anthem ,Maricopa,Arizona,85086,-112.136313,33.862997,N
1000434,Anthony Farmers Market,Corner of West Main and Lawrence,Anthony,Harper,Kansas,67003,-98.038,37.1521,-
1004557,"Antigo Farmers Market, Inc.",700 Superior St,Antigo,Langlade,Wisconsin,54409,-89.15228,45.14188,N
1011109,Apex Farmers Market,220 N. Salem St. ,Apex ,Wake,North Carolina,27502,-78.8498990,35.7320152,Y
1011158,"Appalachian (Newport) Farmers Market, Cocke County TN",115 Mulberry Street,Newport,Cocke,Tennessee,37821,-83.194852,35.961750,Y
1005207,Appalachian Farmers' Market,Intersection of Fair Street and Lakeview Drive,Gray,Washington,Tennessee,37615,-82.4819,36.4183,-
1000683,Apple Country Farmers Market,19th and Ave A,Lubbock,Lubbock,Texas,79401,-101.8364,33.57785,-
1000685,Apple Country Farmers Market,12206 E. Hwy 62,Idalou,Lubbock,Texas,79329,-101.611862,33.666336,N
1006889,Apple Valley Farmers' Market,corner of Cty Rd 42 & Galaxy near City Hall,Apple Valley,Dakota County,Minnesota,,-93.2072,44.7309,-
1012562,Appleton Area Farmers Market,,Appleton,Swift,Minnesota,56208,-96.020908,45.203207,N
