STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,TOTEXPCO,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO,VIDEO,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,LOANTO,LOANFM,TOTPRO,TOTATTEN,GPTERMS,PITUSR,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO
AK,AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,1050,PR WALES-OUTER KE,9078263281,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,1400,1,0,0,0,1,2,99590,6350,5000,117297,,,,11611,0,16320,110910,0,0,0,0,0,11335,0,579,2092,49,61,1784,13881,5200,1800,21791,9305,0,216,85,939,4,3554,2010,08,1,00,00,00,-133.151451,55.47608,02,198
AK,AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,0229,SE FAIRBANK,9078954102,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,1128,1,0,0,0,1,2.18,160293,6350,1000,167643,82076,36065,118141,7875,1025,9400,166643,0,0,0,0,0,14226,0,603,1577,50,12,2912,46737,6500,4713,43752,13533,220,103,104,3105,9,21320,2010,08,2,00,00,00,-145.713082,64.03256,02,240
AK,AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,0870,DILLINGHAM,9078425610,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,2264,1,0,0,0,1,1.85,77686,6350,6000,101954,,,,4306,781,5658,101465,0,0,0,0,0,17193,0,105,1720,49,0,2288,14607,800,1483,10121,2545,0,150,7,76,6,6000,2010,08,1,00,00,00,-158.466804,59.04026,02,070
AK,AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,0045,SE FAIRBANK,9075472334,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,146,1,0,0,0,0.48,0.91,2000,6350,5000,16286,,,,2504,530,4804,14883,0,0,0,0,0,8874,0,665,1989,49,44,704,2850,206,168,4028,1246,0,116,39,373,3,950,2010,08,2,00,00,00,-141.201813,64.78648,02,240
AK,AK0022,AK0022-002,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,0050,NOME,9078903501,NO,CI,SO,CI1,N,.,.,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,,,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2010,08,3,23,00,00,-162.073651,64.75812,02,180
AK,AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,NO,CO,MO,CO1,N,07/01/2008,06/30/2009,158867,1,1,1,10,11.75,51.25,5029460,24630,130470,5244813,2575995,1533307,4109302,357228,86574,531308,5190853,0,0,0,0,0,304050,1344,17840,22913,80,1000,5828,363411,79565,53552,624947,236550,8410,7287,829,29442,23,87618,2010,08,1,00,00,00,-147.73849,64.83845,02,090
AK,AK0025,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,0149,YUKON-KOYUKUK,9076561883,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,564,1,0,0,0,0.38,0.38,24420,6350,0,31575,,,,3570,500,4480,30770,0,0,0,0,0,10575,0,52,894,49,39,750,2800,900,200,5119,1310,0,42,97,670,4,350,2010,08,1,00,00,00,-154.720238,65.96966,02,290
AK,AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,473,1,0,0,0,0,0,0,6350,80,46465,,,,3730,319,6577,35532,0,27000,0,27000,0,27136,0,430,3557,49,29,1575,13000,750,2123,17663,5365,0,153,12,312,4,1380,2010,08,1,00,00,00,-146.369847,62.05552,02,261
AK,AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,0279,SKAGWAY-ANGOON,9076972350,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,451,1,0,0,0,0.88,0.88,51974,6350,6328,74976,,,,5100,0,6000,65168,0,0,0,0,0,10533,0,92,907,49,26,1250,8963,300,537,5149,2712,0,183,135,1706,4,3969,2010,08,1,00,00,00,-136.855874,58.83307,02,230
AK,AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,NO,CO,SO,CO1,N,07/01/2008,06/30/2009,2286,1,0,0,0,1,6.23,301216,6350,107397,457874,194219,89398,283617,18754,0,22030,432305,0,0,0,0,0,35379,63,2056,4676,49,143,2730,99286,14600,2640,99403,14871,789,183,717,5857,16,20778,2010,08,1,00,00,00,-135.446889,59.2363,02,100
AK,AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,0518,DENALI,9076832507,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,1002,1,0,0,0,0.6,0.6,15275,6350,0,53874,,,,8783,0,15371,40502,0,0,0,0,0,23801,0,850,1570,49,19,988,5852,650,862,16754,5182,5,163,64,1925,9,1156,2010,08,2,00,00,15,-148.563331,64.014,02,068
AK,AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS SCHOOL ROAD,HOLLIS,99950,0005,PR WALES-OUTER KE,9075307112,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,193,1,0,0,0,0,0,3000,6350,80,13201,,,,4461,0,4611,10058,0,0,0,0,0,17115,0,530,256,49,15,750,1550,500,130,4056,2428,0,10,18,136,3,500,2010,08,1,00,00,15,-132.878786,55.76289,02,198
AK,AK0032,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,NO,CI,SO,CI1,N,01/01/2008,12/31/2008,5551,1,0,0,1,1,6.4,637618,6350,0,656521,302516,172274,474790,24616,0,26886,637118,0,0,0,0,0,36034,0,933,1957,50,161,2704,132402,18096,9341,99727,32793,737,1176,242,3655,19,51383,2010,08,1,00,00,00,-151.544372,59.63993,02,122
AK,AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,NO,CO,MO,CO1,N,07/01/2008,06/30/2009,40472,1,2,0,4.75,4.75,20.43,2365827,20304,90300,2489003,918275,789968,1708243,125467,21311,169132,2488052,0,0,0,0,0,119699,6863,4622,5207,74,453,7828,353877,19255,26634,208575,77874,4350,4448,431,13848,54,79486,2010,08,1,00,00,00,-134.400041,58.29759,02,110
AK,AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,0176,KENAI PENINSULA,9072524097,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,536,1,0,0,0,0.38,0.48,5600,11350,0,19398,,,,3190,0,3400,16089,0,0,0,0,0,15269,0,73,158,49,4,612,3200,308,567,5370,1661,0,30,28,156,3,310,2010,08,2,00,00,00,-151.225689,60.3424,02,122
AK,AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,7115,1,0,0,2,2,7.5,612869,6350,5796,633962,292365,131360,423725,51883,5310,66009,639519,0,0,0,0,21718,78403,0,1405,3991,51,132,3040,99300,1484,15853,113994,29542,301,460,266,3478,15,21362,2010,08,1,00,00,00,-151.244012,60.55813,02,122
AK,AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,NO,CO,SO,CO1,N,01/01/2008,12/31/2008,12984,1,0,0,3,3.65,11.75,968605,8204,1000,1013253,457559,243400,700959,90565,5499,141966,999789,407687,0,0,407687,407687,57583,0,4665,6462,52,166,2976,169488,11932,9415,151826,54167,538,331,216,5991,5,10781,2010,08,1,00,00,00,-131.650775,55.34479,02,130
AK,AK0040,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868688,NO,CI,SO,CI2,N,07/01/2008,06/30/2009,13442,1,0,0,1,1,7.5,732920,8930,0,744718,356307,165431,521738,59420,0,64350,661005,0,0,0,0,0,69789,0,6088,4282,56,233,3344,149320,5471,14312,96615,30092,700,194,145,2978,10,51480,2010,08,1,00,00,00,-152.398502,57.79393,02,150
AK,AK0041,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,0297,NORTHWEST ARCTIC,9074422410,NO,MJ,MO,CI2,N,07/01/2008,06/30/2009,4003,1,1,0,1,1,2.25,111731,12700,1000,236391,116161,54949,171110,17493,4137,40275,241563,0,0,0,0,0,12842,1977,468,1892,50,88,2912,20000,1800,1000,7147,4336,54,242,184,1425,5,7000,2010,08,1,00,00,00,-162.587444,66.89788,02,188
AK,AK0042,AK0042-002,KOYUKUK COMMUNITY LIBRARY,300 VISTA ROAD,KOYUKUK,99754,0029,YUKON-KOYUKUK,9079272224,ME,CI,SO,CI1,N,07/01/2008,06/30/2009,105,1,0,0,0,0.25,0.25,7000,6350,0,13350,,,,2378,500,3978,15515,0,0,0,0,0,2600,0,100,160,0,15,520,730,130,55,812,425,0,0,8,100,0,0,2010,08,1,08,00,00,-157.67622,64.88745,02,290
AK,AK0044,AK0044-002,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,0249,YUKON-KOYUKUK,9075243843,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,322,1,0,0,0,0.5,0.75,6000,6350,6000,24301,,,,4335,0,4335,18812,0,0,0,0,0,12639,0,51,142,49,14,1142,3015,162,337,1634,731,0,26,37,1079,4,2398,2010,08,1,00,00,00,-154.958831,62.94694,02,290
AK,AK0046,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,0007,PR WALES-OUTER KE,9078866000,NO,NL,SO,CI1,N,07/01/2008,06/30/2009,1330,1,0,0,0,0.38,1.26,37079,6350,80,43812,,,,622,0,1662,37080,0,0,0,0,0,9134,0,66,219,49,26,780,1827,827,153,1511,467,0,16,3,23,2,613,2010,08,2,00,00,00,-131.582243,55.13203,02,198
AK,AK0047,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,0147,BRISTOL BAY,9072464465,NO,CO,MO,CI2,N,07/01/2008,06/30/2009,967,1,1,0,0,1,3,226644,12700,6415,246801,101244,58255,159499,10272,0,10272,219123,6000,0,0,6000,11348,16167,0,303,2835,49,14,3224,9576,316,414,6679,2819,0,62,52,753,6,4867,2010,08,1,00,00,00,-156.710141,58.84785,02,060
AK,AK0048,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,0040,YUKON-KOYUKUK,9078325812,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,353,1,0,0,0,1,1,73555,6350,0,82946,,,,3435,306,5501,80655,0,0,0,0,0,9115,0,523,1547,49,10,1664,8320,413,910,8428,1242,4,526,33,216,6,6240,2010,08,1,00,00,00,-149.092702,64.56222,02,290
AK,AK0051,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,0165,KENAI PENINSULA,9075673333,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,824,1,0,0,0,0.38,0.38,0,15271,0,27892,,,,3519,0,4709,21824,0,0,0,0,0,12550,0,503,2319,49,2,1456,6188,401,904,16114,1375,0,13,38,231,3,1698,2010,08,1,00,00,00,-151.691726,60.0275,02,122
AK,AK0052,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436628,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,3468,1,0,0,0.7,1.88,2.08,200562,6350,1000,210527,101538,51026,152564,10873,0,11347,207912,0,0,0,0,0,17929,0,541,910,49,37,2288,19000,1348,1603,5620,2418,0,90,44,444,4,10000,2010,08,1,00,00,00,-165.40543,64.49731,02,180
AK,AK0053,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,0496,SE FAIRBANK,9077782301,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,88,1,0,0,0,0.25,0.25,0,9490,5000,14490,,,,3300,0,5420,13318,0,0,0,0,0,3323,0,67,220,49,77,500,1100,142,88,1590,1015,2,0,20,94,1,290,2010,08,1,00,00,00,-141.945631,62.94483,02,240
AK,AK0055,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,NO,CO,SO,CO1,N,07/01/2008,06/30/2009,24697,1,0,0,1,1,9.5,807559,6350,1000,816573,279571,186948,466519,51000,0,51000,658878,0,0,0,0,0,54818,0,2295,2184,50,51,2496,101627,908,8228,121887,65542,256,148,237,6244,8,19984,2010,08,1,00,00,00,-149.113741,61.59847,02,170
AK,AK0056,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,0712,SKAGWAY-ANGOON,9077352500,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,122,1,0,0,0,0.32,0.36,17106,6350,1000,25640,,,,3603,463,4114,25006,0,0,0,0,0,10513,0,609,2052,49,38,613,3640,168,354,8529,1772,0,23,187,764,2,721,2010,08,1,00,00,00,-136.135508,58.10796,02,230
AK,AK0057,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 SOUTH NORDIC DRIVE,PETERSBURG,99833,0549,WRANGELL-PETERSBU,9077723349,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,2973,1,0,0,1,1,3.5,257459,6350,13663,280272,146097,42278,188375,31589,0,51589,280864,0,0,0,0,0,29093,0,1639,5847,49,116,2600,51759,1703,3594,78528,21319,225,123,178,3542,2,5905,2010,08,1,00,00,00,-132.958255,56.80848,02,275
AK,AK0058,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,0049,KODIAK ISLAND,9074542288,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,200,1,0,0,0,0.38,0.38,9702,6350,0,18152,,,,1909,0,2520,18536,0,0,0,0,0,12141,0,55,380,49,10,780,1991,86,200,815,110,0,25,31,333,4,1465,2010,08,1,00,00,00,-152.883298,57.87453,02,150
AK,AK0061,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOL BOULEVARD,SAINT PAUL,99660,0905,ALEUTIANS WEST,9075463324,NO,MJ,SO,CI1,N,07/01/2008,06/30/2009,459,1,0,0,0,0.3,0.3,14966,6350,0,21316,,,,4372,467,4839,27096,0,0,0,0,0,14466,0,90,891,50,17,512,4400,500,212,3487,2421,0,1,42,140,10,2468,2010,08,1,00,00,00,-170.27885,57.18359,02,016
AK,AK0064,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,0275,KENAI PENINSULA,9072347662,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,241,1,0,0,0,0,0,0,6350,0,7190,,,,4655,0,5001,6950,0,0,0,0,0,10704,0,345,1773,49,25,700,3787,315,459,8405,3422,0,29,78,281,2,921,2010,08,1,00,00,00,-151.531478,59.64462,02,122
AK,AK0065,AK0065-002,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244082,NO,CI,SO,CI1,N,01/01/2008,12/31/2008,2609,1,0,0,1,3,4.5,359436,8883,0,384247,160112,96572,256684,30597,9284,42981,370564,0,0,0,0,0,32007,0,1147,1950,53,70,3172,87860,2475,5019,70811,17637,200,260,55,3694,11,19044,2010,08,1,00,00,00,-149.438759,60.10178,02,122
AK,AK0067,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077474021,NO,CO,SO,CO1,N,07/01/2008,06/30/2009,8627,1,0,0,2,2,7.71,830360,8520,0,859808,336594,220911,557505,63650,600,76200,824864,0,0,0,0,0,74520,0,5933,5725,51,350,3692,166372,6396,12194,125348,45025,1719,1697,322,6418,10,43503,2010,08,1,00,00,00,-135.334496,57.04958,02,220
AK,AK0068,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,0394,SKAGWAY-ANGOON,9079832665,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,865,1,0,0,0,1,1.8,180604,6350,0,188390,,,,9340,0,9545,186954,0,0,0,0,0,9654,0,276,1213,49,60,2320,12600,1864,1437,13559,1453,52,213,110,926,4,7305,2010,08,1,00,00,00,-135.308005,59.46061,02,230
AK,AK0069,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,4021,1,0,0,0,1,5,429009,6350,948,436307,187370,101830,289200,50437,0,50437,414992,0,0,0,0,325000,41809,0,2738,1875,49,140,3068,93561,17011,14884,113811,35203,88,311,97,2350,6,16160,2010,08,2,00,00,00,-151.072559,60.49234,02,122
AK,AK0070,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,0266,MATANUSKA-SUSITNA,9077454467,NO,CO,SO,CO1,N,07/01/2008,06/30/2009,3678,1,0,0,0,1,1.75,182629,6350,8220,197199,,,,15888,0,15888,197201,0,0,0,0,0,13522,0,970,1100,49,40,2132,12099,375,975,14441,8285,37,184,222,5770,2,2354,2010,08,1,00,00,00,-148.943896,61.7554,02,170
AK,AK0071,AK0071-002,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,7529,YUKON-KOYUKUK,9072982229,NO,NL,SO,CI1,N,07/01/2008,06/30/2009,53,1,0,0,0,0.38,0.38,18214,6350,6000,30564,,,,3099,0,3099,22576,0,0,0,0,0,2867,0,83,181,49,15,780,1340,370,50,1263,443,0,3,27,87,3,1180,2010,08,1,00,00,00,-156.124971,62.97515,02,290
AK,AK0072,AK0072-002,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,0768,MATANUSKA-SUSITNA,9077332359,NO,CO,SO,CO1,N,07/01/2008,06/30/2009,6746,1,0,0,0,1,2.1,178089,6350,12999,197438,107128,41442,148570,19742,0,19742,197335,0,0,0,0,0,12968,0,866,1494,52,38,2184,24960,6039,2513,37219,13587,80,265,65,1081,6,9940,2010,08,1,00,00,00,-149.889417,62.17843,02,170
AK,AK0073,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,7109,YUKON-KOYUKUK,9073667356,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,251,1,0,0,0,0.25,0.25,5000,6350,1000,21350,,,,1700,500,3200,21050,0,0,0,0,0,11340,0,530,450,49,50,340,2500,250,251,2897,200,0,84,23,175,4,2000,2010,08,1,00,00,00,-151.892209,65.3268,02,290
AK,AK0074,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,0035,SKAGWAY-ANGOON,9077362248,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,104,1,0,0,0,0.25,0.25,7839,6350,1000,16565,,,,2905,0,4655,16655,0,0,0,0,0,5951,0,107,1404,49,3,552,1221,363,152,1936,599,0,38,15,74,2,252,2010,08,2,00,00,00,-135.212133,57.77754,02,230
AK,AK0075,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,0227,SE FAIRBANK,9078835623,NO,NP,SO,CI1,N,07/01/2008,06/30/2009,1429,1,0,0,0,0,0,0,12850,0,16300,,,,3965,0,5122,14834,0,0,0,0,0,12923,268,379,1256,49,5,1101,1934,98,862,2530,399,0,22,5,105,1,665,2010,08,1,00,00,00,-142.249751,63.9214,02,240
AK,AK0076,AK0076-002,TICASUK LIBRARY,28 HAPPY VALLEY ROAD,UNALAKLEET,99684,0028,NOME,9076243053,NO,CI,SO,CI1,N,07/01/2008,06/30/2009,725,1,0,0,0,0.43,0.43,10594,6350,0,16944,,,,1748,0,3788,17608,0,0,0,0,0,4286,0,248,118,49,11,850,1000,100,725,500,155,0,21,13,90,1,505,2010,08,2,08,00,15,-160.921,63.631463,02,180
AK,AK0077,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,99686,0609,VALDEZ-CORDOVA,9078354632,NO,MJ,SO,CI1,N,01/01/2008,12/31/2008,3475,1,0,0,0,0.93,3.52,351399,6350,0,374609,160377,60092,220469,20117,0,26019,331913,0,0,0,0,0,46074,0,6183,3886,49,136,2654,30831,9600,1090,19845,3803,222,60,26,533,5,9801,2010,08,1,00,00,00,-146.353761,61.12918,02,261
