NAME,STUSAB,SUMLEV,REGION,DIVISION,STATE,COUNTY,AREALAND,AREAWATR,POP100,HU100,INTPTLAT,INTPTLON,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003
Chilton County,AL,050,3,6,01,021,1794483586,20586383,43643,19278,+32.8540595,-086.7266275,43643,43137,36713,4230,155,130,55,1854,506,487,158,142,44,5,97,10,6,5,5,0,0,10,1,1,3,19,0,0,0,43643,3420,40223,39870,35395,4171,134,125,11,34,353,345,8,0,0,0,32683,32442,28046,2991,114,97,42,1152,241,234,7,0,0,0,32683,2098,30585,30421,27246,2953,105,94,9,14,164,162,2,0,0,0,19278,16558,2720
Choctaw County,AL,050,3,6,01,023,2365954748,19059251,13859,7269,+31.9910082,-088.2488874,13859,13801,7731,6012,18,12,0,28,58,52,22,8,7,0,1,10,3,0,1,0,0,0,0,0,0,6,0,0,0,13859,73,13786,13730,7700,5990,18,12,0,10,56,50,6,0,0,0,10718,10685,6083,4562,16,9,0,15,33,30,3,0,0,0,10718,55,10663,10631,6058,4543,16,9,0,5,32,29,3,0,0,0,7269,5866,1403
Clarke County,AL,050,3,6,01,025,3207609488,36542656,25833,12638,+31.6855211,-087.8186244,25833,25657,14070,11336,103,77,4,67,176,157,53,45,11,1,11,18,5,3,9,0,0,0,0,1,0,15,4,0,0,25833,271,25562,25406,13943,11280,96,74,4,9,156,144,12,0,0,0,19444,19351,11056,8123,69,54,2,47,93,83,10,0,0,0,19444,183,19261,19177,10965,8089,63,51,2,7,84,75,9,0,0,0,12638,10337,2301
Clay County,AL,050,3,6,01,027,1564252280,5284628,13932,6776,+33.2678085,-085.8620510,13932,13697,11380,2066,55,24,0,172,235,227,86,98,6,2,19,10,0,2,3,1,0,0,0,0,0,8,0,0,0,13932,399,13533,13317,11186,2048,55,23,0,5,216,208,8,0,0,0,10788,10683,8966,1528,46,19,0,124,105,101,4,0,0,0,10788,261,10527,10430,8849,1516,46,18,0,1,97,93,4,0,0,0,6776,5670,1106
Cleburne County,AL,050,3,6,01,029,1450652767,2365681,14972,6718,+33.6719810,-085.5161090,14972,14812,14079,498,51,23,10,151,160,156,59,57,18,0,15,0,1,0,1,4,0,1,0,0,0,2,1,1,0,14972,307,14665,14528,13956,494,50,23,1,4,137,135,0,1,1,0,11421,11356,10820,379,41,16,9,91,65,63,0,1,1,0,11421,185,11236,11176,10740,377,40,16,0,3,60,58,0,1,1,0,6718,5891,827
Coffee County,AL,050,3,6,01,031,1758528786,3944730,49948,22330,+31.4021833,-085.9892014,49948,48701,37330,8359,645,644,100,1623,1247,1144,284,398,218,18,111,28,30,3,21,11,1,4,8,3,6,99,4,0,0,49948,3180,46768,45725,36134,8257,602,629,51,52,1043,967,74,2,0,0,37864,37257,29045,6090,470,526,74,1052,607,559,46,2,0,0,37864,2007,35857,35330,28288,6025,439,517,40,21,527,487,39,1,0,0,22330,19849,2481
Colbert County,AL,050,3,6,01,033,1534877333,76430813,54428,25758,+34.7031120,-087.8014569,54428,53583,43789,8768,267,229,20,510,845,813,316,330,51,8,55,20,16,0,14,0,0,2,0,1,0,31,1,0,0,54428,1093,53335,52571,43334,8702,262,224,14,35,764,747,16,1,0,0,42394,41986,34706,6598,204,166,10,302,408,395,12,1,0,0,42394,643,41751,41377,34433,6565,200,163,7,9,374,366,7,1,0,0,25758,22773,2985
Conecuh County,AL,050,3,6,01,035,2201894769,6644940,13228,7093,+31.4282925,-086.9920291,13228,13096,6788,6149,44,17,1,97,132,122,38,43,8,0,10,9,9,1,4,0,0,0,0,0,0,5,0,5,0,13228,161,13067,12953,6764,6122,44,17,0,6,114,110,4,0,0,0,10186,10112,5578,4410,34,17,0,73,74,68,3,0,3,0,10186,113,10073,10006,5562,4391,34,17,0,2,67,65,2,0,0,0,7093,5625,1468
Coosa County,AL,050,3,6,01,037,1685891075,39946646,11539,6478,+32.9314453,-086.2434818,11539,11436,7648,3582,40,16,15,135,103,100,24,40,6,1,11,12,0,1,1,0,4,0,0,0,0,3,0,0,0,11539,230,11309,11221,7604,3556,40,14,0,7,88,86,2,0,0,0,9169,9100,6216,2734,33,14,9,94,69,67,2,0,0,0,9169,164,9005,8946,6181,2719,33,12,0,1,59,58,1,0,0,0,6478,4794,1684
Covington County,AL,050,3,6,01,039,2668869505,34526309,37765,18829,+31.2439873,-086.4487206,37765,37243,32022,4716,214,155,1,135,522,508,204,217,36,1,28,11,0,0,4,2,1,2,0,2,0,13,1,0,0,37765,483,37282,36794,31751,4685,196,148,1,13,488,475,12,1,0,0,29242,28999,25296,3335,161,116,1,90,243,234,9,0,0,0,29242,325,28917,28688,25110,3317,150,109,1,1,229,221,8,0,0,0,18829,15531,3298
Crenshaw County,AL,050,3,6,01,041,1576888006,5376392,13906,6735,+31.7328256,-086.3192219,13906,13704,10097,3254,57,189,8,99,202,197,84,80,7,0,7,9,4,0,1,1,0,2,0,2,0,4,1,0,0,13906,204,13702,13509,10020,3241,56,189,1,2,193,188,4,1,0,0,10598,10499,7835,2405,44,135,5,75,99,96,3,0,0,0,10598,149,10449,10356,7781,2395,43,135,1,1,93,90,3,0,0,0,6735,5652,1083
Cullman County,AL,050,3,6,01,043,1903228333,52266921,80406,37054,+34.1319229,-086.8692666,80406,79517,76133,856,408,343,18,1759,889,860,150,495,69,20,102,4,1,1,4,3,1,1,1,1,7,26,2,1,0,80406,3454,76952,76184,74568,821,397,339,18,41,768,747,19,1,1,0,61765,61205,58901,655,320,257,17,1055,560,538,20,1,1,0,61765,2079,59686,59176,57953,630,309,256,17,11,510,493,15,1,1,0,37054,31864,5190
Dale County,AL,050,3,6,01,045,1453371157,4016457,50251,22677,+31.4306536,-085.6094760,50251,48746,37236,9679,371,534,44,882,1505,1369,453,361,241,17,127,67,22,9,32,7,0,2,16,7,8,129,4,3,0,50251,2821,47430,46223,35705,9546,337,527,42,66,1207,1112,92,3,0,0,37774,37040,28954,6743,283,453,37,570,734,666,62,3,3,0,37774,1756,36018,35421,27980,6662,266,447,35,31,597,551,44,2,0,0,22677,20065,2612
Dallas County,AL,050,3,6,01,047,2534807386,39134826,43820,20208,+32.3335397,-087.1143556,43820,43521,12769,30423,85,149,11,84,299,271,133,34,7,2,7,31,17,19,20,1,0,0,0,0,0,27,0,1,0,43820,309,43511,43233,12676,30314,78,144,6,15,278,254,24,0,0,0,32225,32074,10506,21322,70,118,11,47,151,134,16,0,1,0,32225,209,32016,31875,10444,21242,63,115,6,5,141,125,16,0,0,0,20208,17064,3144
DeKalb County,AL,050,3,6,01,049,2012662359,4123588,71109,31109,+34.4609290,-085.8039920,71109,69535,60087,1078,969,203,147,7051,1574,1521,192,969,67,19,199,3,2,0,9,5,6,18,5,11,16,52,1,0,0,71109,9690,61419,60133,57997,1029,865,166,35,41,1286,1241,44,1,0,0,52743,51765,46173,796,660,144,83,3909,978,947,30,1,0,0,52743,5286,47457,46605,45072,774,601,128,19,11,852,825,26,1,0,0,31109,26842,4267
Elmore County,AL,050,3,6,01,051,1601867593,99862541,79303,32657,+32.5972286,-086.1427385,79303,78159,60455,15900,285,518,63,938,1144,1084,339,322,196,20,93,41,14,7,23,0,0,5,8,9,7,59,0,1,0,79303,2129,77174,76170,59449,15814,269,514,50,74,1004,956,47,0,1,0,60596,59988,46838,11866,227,402,42,613,608,575,32,0,1,0,60596,1422,59174,58644,46153,11809,214,399,37,32,530,502,27,0,1,0,32657,28301,4356
Escambia County,AL,050,3,6,01,053,2447746932,20873208,38319,16486,+31.1217475,-087.1684290,38319,37739,23784,12220,1288,92,12,343,580,564,158,265,36,6,19,41,11,3,10,4,3,4,0,3,1,16,0,0,0,38319,718,37601,37062,23508,12162,1274,86,12,20,539,523,16,0,0,0,29640,29351,18870,9203,957,71,7,243,289,279,10,0,0,0,29640,493,29147,28878,18688,9163,946,65,7,9,269,259,10,0,0,0,16486,14157,2329
Etowah County,AL,050,3,6,01,055,1385618994,35322991,104430,47454,+34.0476377,-086.0344203,104430,102885,83823,15796,448,672,171,1975,1545,1487,544,549,111,25,140,25,20,6,36,4,0,10,2,13,2,58,0,0,0,104430,3447,100983,99651,82789,15716,372,657,30,87,1332,1286,46,0,0,0,80444,79646,66048,11493,346,499,97,1163,798,764,34,0,0,0,80444,2011,78433,77733,65421,11454,311,487,21,39,700,673,27,0,0,0,47454,42036,5418
Fayette County,AL,050,3,6,01,057,1625631609,4392821,17241,8437,+33.7322485,-087.7520486,17241,17070,14910,1969,52,37,0,102,171,169,82,58,7,2,17,3,0,0,0,0,0,0,0,0,0,2,0,0,0,17241,204,17037,16885,14832,1958,47,37,0,11,152,151,1,0,0,0,13404,13314,11673,1507,44,27,0,63,90,88,2,0,0,0,13404,131,13273,13194,11622,1500,41,27,0,4,79,78,1,0,0,0,8437,7100,1337
Franklin County,AL,050,3,6,01,059,1641587713,32897905,31704,14022,+34.4419884,-087.8428147,31704,31174,26320,1228,215,63,10,3338,530,516,122,178,18,4,153,3,4,0,13,0,0,18,0,3,0,13,0,1,0,31704,4710,26994,26666,25249,1211,121,51,2,32,328,319,8,0,1,0,23837,23562,20401,925,147,45,10,2034,275,266,8,0,1,0,23837,2799,21038,20858,19800,916,90,40,2,10,180,174,5,0,1,0,14022,12286,1736
Geneva County,AL,050,3,6,01,061,1487710425,11765293,26790,12687,+31.0908664,-085.8243464,26790,26374,23127,2539,224,67,8,409,416,394,128,172,25,1,36,22,0,1,5,1,0,1,2,0,0,18,1,3,0,26790,920,25870,25499,22692,2523,197,64,8,15,371,349,18,1,3,0,20799,20591,18202,1901,175,55,4,254,208,192,16,0,0,0,20799,530,20269,20080,17968,1891,158,52,4,7,189,173,16,0,0,0,12687,10920,1767
Greene County,AL,050,3,6,01,063,1676007032,33231212,9045,5007,+32.8444965,-087.9642005,9045,9002,1575,7370,17,15,0,25,43,41,16,5,2,0,4,13,0,0,1,0,0,0,0,0,0,2,0,0,0,9045,69,8976,8937,1562,7349,11,15,0,0,39,38,1,0,0,0,6851,6831,1357,5427,17,13,0,17,20,19,1,0,0,0,6851,41,6810,6792,1353,5415,11,13,0,0,18,18,0,0,0,0,5007,3764,1243
Hale County,AL,050,3,6,01,065,1667803914,32525967,15760,7655,+32.7527958,-087.6230608,15760,15672,6266,9301,25,35,1,44,88,75,14,27,7,0,14,3,7,2,1,0,0,0,0,0,0,13,0,0,0,15760,140,15620,15544,6213,9265,23,35,1,7,76,65,11,0,0,0,11845,11784,5013,6699,15,29,1,27,61,54,7,0,0,0,11845,90,11755,11701,4979,6677,13,29,1,2,54,47,7,0,0,0,7655,6273,1382
Henry County,AL,050,3,6,01,067,1454926258,16986789,17302,8891,+31.5169779,-085.2399712,17302,17126,11865,4942,57,54,2,206,176,168,73,51,12,2,10,10,3,2,5,0,0,0,0,0,0,6,2,0,0,17302,389,16913,16752,11731,4915,54,45,2,5,161,153,6,2,0,0,13384,13308,9391,3713,44,36,2,122,76,71,5,0,0,0,13384,234,13150,13079,9305,3698,43,29,2,2,71,66,5,0,0,0,8891,6994,1897
Houston County,AL,050,3,6,01,069,1501737720,4739984,101547,45319,+31.1581928,-085.2963976,101547,99788,71053,26176,446,820,49,1244,1759,1641,581,459,174,17,165,95,56,20,39,5,5,8,8,9,0,104,12,2,0,101547,2995,98552,97107,69731,26038,393,806,43,96,1445,1355,80,8,2,0,76621,75767,55679,18237,351,622,39,839,854,782,64,6,2,0,76621,1945,74676,73984,54818,18162,315,612,33,44,692,638,47,5,2,0,45319,40969,4350
Jackson County,AL,050,3,6,01,071,2791664869,126657194,53227,24786,+34.7635224,-085.9774003,53227,51849,48348,1781,719,185,48,768,1378,1361,227,942,54,9,71,30,1,0,8,2,1,9,3,3,1,17,0,0,0,53227,1339,51888,50606,47937,1771,680,165,29,24,1282,1270,12,0,0,0,41242,40381,37853,1321,577,138,37,455,861,857,4,0,0,0,41242,771,40471,39646,37615,1317,552,125,23,14,825,821,4,0,0,0,24786,21513,3273
Jefferson County,AL,050,3,6,01,073,2878192209,32474487,658466,300552,+33.5534439,-086.8965359,658466,651191,349166,276525,1740,9158,244,14358,7275,6778,2069,1450,1130,53,709,509,252,59,262,38,4,44,29,128,42,450,43,4,0,658466,25488,632978,626925,340213,275511,1431,9085,154,531,6053,5656,357,38,2,0,503938,499863,280999,200810,1344,7042,183,9485,4075,3789,258,24,4,0,503938,17090,486848,483434,274788,200129,1134,6994,119,270,3414,3188,202,22,2,0,300552,263568,36984
Lamar County,AL,050,3,6,01,075,1566544654,1600679,14564,7354,+33.7870852,-088.0874309,14564,14381,12626,1643,24,4,2,82,183,177,62,66,12,2,9,16,0,0,5,1,0,0,2,2,0,5,0,1,0,14564,180,14384,14210,12542,1635,24,4,1,4,174,169,5,0,0,0,11337,11242,9944,1217,22,4,1,54,95,90,4,0,1,0,11337,116,11221,11129,9892,1210,22,4,1,0,92,88,4,0,0,0,7354,6103,1251
Lauderdale County,AL,050,3,6,01,077,1729327931,138027479,92709,43791,+34.9041221,-087.6509966,92709,91403,80112,9257,338,685,34,977,1306,1265,526,404,116,9,114,47,9,5,14,3,0,2,9,6,1,35,5,1,0,92709,2082,90627,89479,79228,9190,323,675,23,40,1148,1110,33,5,0,0,72727,72065,63737,6880,265,576,26,581,662,627,29,5,1,0,72727,1262,71465,70880,63181,6843,255,566,18,17,585,553,27,5,0,0,43791,38680,5111
Lawrence County,AL,050,3,6,01,079,1788846568,68688464,34339,15229,+34.5297759,-087.3218651,34339,32861,26647,3938,1953,42,6,275,1478,1428,118,1174,40,11,35,27,1,1,2,14,0,4,0,0,1,43,3,4,0,34339,574,33765,32336,26420,3917,1928,41,5,25,1429,1389,40,0,0,0,26375,25442,20866,3059,1337,34,6,140,933,916,13,2,2,0,26375,307,26068,25148,20737,3043,1328,33,5,2,920,907,13,0,0,0,15229,13654,1575
Lee County,AL,050,3,6,01,081,1573510728,21530362,140247,62391,+32.6040644,-085.3530477,140247,137988,100006,31901,445,3658,105,1873,2259,2121,654,447,450,46,204,77,75,8,67,5,5,8,30,40,5,126,11,1,0,140247,4571,135676,133816,97900,31674,397,3615,66,164,1860,1764,85,10,1,0,108656,107395,79707,23150,318,2841,82,1297,1261,1178,74,8,1,0,108656,3182,105474,104440,78205,23004,291,2811,53,76,1034,972,54,7,1,0,62391,55682,6709
Limestone County,AL,050,3,6,01,083,1450228326,122381869,82782,34977,+34.8102387,-086.9813995,82782,81314,66506,10429,547,924,42,2866,1468,1401,428,478,189,17,151,35,24,4,25,6,0,8,2,20,14,63,4,0,0,82782,4591,78191,76969,65112,10350,487,911,26,83,1222,1166,52,4,0,0,62923,62165,51331,8059,406,628,24,1717,758,722,36,0,0,0,62923,2708,60215,59561,50505,8018,368,621,15,34,654,625,29,0,0,0,34977,31446,3531
Lowndes County,AL,050,3,6,01,085,1854199648,23723525,11299,5140,+32.1478880,-086.6505859,11299,11239,2859,8310,25,14,0,31,60,51,17,13,2,0,0,2,10,1,2,3,0,0,0,1,0,9,0,0,0,11299,87,11212,11167,2841,8283,25,14,0,4,45,42,3,0,0,0,8567,8529,2339,6144,18,12,0,16,38,31,7,0,0,0,8567,55,8512,8483,2329,6124,18,12,0,0,29,26,3,0,0,0,5140,4352,788
Macon County,AL,050,3,6,01,087,1577005015,11194263,21452,10259,+32.3870267,-085.6928870,21452,21224,3319,17729,29,76,2,69,228,181,73,22,8,3,4,41,17,5,8,0,0,0,0,0,0,42,5,0,0,21452,232,21220,21016,3267,17631,28,76,2,12,204,166,35,3,0,0,17032,16877,2747,13985,28,65,2,50,155,120,30,5,0,0,17032,185,16847,16710,2702,13909,27,65,2,5,137,111,23,3,0,0,10259,8499,1760
Madison County,AL,050,3,6,01,089,2076116529,28771340,334811,146447,+34.7642377,-086.5510803,334811,326556,228280,80376,2551,8265,365,6719,8255,7580,2065,2132,1554,84,514,399,244,54,254,36,20,35,45,114,30,626,46,3,0,334811,15404,319407,312256,221445,79517,2335,8167,321,471,7151,6604,513,32,2,0,255321,250918,178536,59463,1875,6308,255,4481,4403,4039,338,23,3,0,255321,10176,245145,241274,173916,58910,1747,6250,218,233,3871,3569,283,17,2,0,146447,134700,11747
Marengo County,AL,050,3,6,01,091,2530112461,14994547,21027,10237,+32.2475911,-087.7910910,21027,20863,9751,10872,34,53,13,140,164,156,56,33,13,2,15,17,6,5,7,1,0,1,0,0,0,7,1,0,0,21027,352,20675,20539,9607,10838,31,53,9,1,136,132,3,1,0,0,15836,15751,7666,7924,21,42,8,90,85,79,5,1,0,0,15836,237,15599,15530,7567,7896,20,42,4,1,69,66,2,1,0,0,10237,8535,1702
Marion County,AL,050,3,6,01,093,1922526826,3313145,30776,14737,+34.1382194,-087.8815510,30776,30435,28791,1184,101,54,14,291,341,331,98,148,17,7,54,4,0,2,0,0,0,1,0,0,0,10,0,0,0,30776,632,30144,29865,28509,1178,94,53,7,24,279,270,9,0,0,0,24111,23920,22661,944,83,49,8,175,191,183,8,0,0,0,24111,360,23751,23582,22501,940,79,48,3,11,169,162,7,0,0,0,14737,12651,2086
Marshall County,AL,050,3,6,01,095,1465522757,148503356,93019,40342,+34.3095637,-086.3216681,93019,91455,81464,1494,706,478,103,7210,1564,1515,402,621,106,24,251,17,1,0,11,8,10,25,9,15,15,30,10,8,1,93019,11238,81781,80620,78060,1389,570,475,63,63,1161,1141,18,1,1,0,69760,68946,62609,1089,542,362,57,4287,814,781,18,9,5,1,69760,6592,63168,62542,60641,1020,457,359,39,26,626,613,11,1,1,0,40342,35810,4532
Mobile County,AL,050,3,6,01,097,3184223082,1073750500,412992,178196,+30.6845730,-088.1965684,412992,406970,248647,142992,3681,7561,204,3885,6022,5579,1628,1541,795,72,450,463,182,35,156,34,5,49,48,103,18,416,22,5,0,412992,9936,403056,397809,243904,142272,3541,7507,157,428,5247,4885,343,16,3,0,309411,306134,195148,99886,2671,5626,152,2651,3277,3013,243,16,5,0,309411,6933,302478,299653,191785,99396,2564,5584,118,206,2825,2612,199,11,3,0,178196,158435,19761
Monroe County,AL,050,3,6,01,099,2656485275,22643193,23068,11333,+31.5803324,-087.3832656,23068,22734,12718,9614,260,67,9,66,334,325,114,132,25,3,9,28,2,1,5,1,2,1,0,2,0,9,0,0,0,23068,220,22848,22537,12621,9581,256,67,4,8,311,303,8,0,0,0,17227,17060,9902,6864,196,56,6,36,167,161,6,0,0,0,17227,140,17087,16930,9835,6841,194,56,3,1,157,152,5,0,0,0,11333,9214,2119
Montgomery County,AL,050,3,6,01,101,2031190777,40571253,229363,101641,+32.2036505,-086.2038308,229363,226457,90656,125477,589,4821,171,4743,2906,2631,826,373,418,33,219,295,217,36,97,14,1,11,35,43,13,257,16,2,0,229363,8314,221049,218610,88099,124928,520,4792,84,187,2439,2215,213,11,0,0,173196,171658,74205,90359,440,3450,131,3073,1538,1401,123,12,2,0,173196,5491,167705,166420,72450,89991,395,3425,68,91,1285,1167,108,10,0,0,101641,89981,11660
Morgan County,AL,050,3,6,01,103,1500476319,51064861,119490,51193,+34.4544844,-086.8464021,119490,117126,95404,14185,1042,691,107,5697,2364,2287,666,937,185,24,334,39,28,3,35,4,0,12,1,16,3,69,8,0,0,119490,9156,110334,108386,92585,14059,928,665,69,80,1948,1895,49,4,0,0,90866,89666,74736,10119,770,518,58,3465,1200,1158,38,4,0,0,90866,5591,85275,84265,72958,10031,706,508,37,25,1010,979,28,3,0,0,51193,47030,4163
Perry County,AL,050,3,6,01,105,1863920409,10918516,10591,4737,+32.6390053,-087.2938269,10591,10548,3204,7276,17,30,5,16,43,38,19,2,1,0,3,7,6,0,0,0,0,0,0,0,0,5,0,0,0,10591,114,10477,10442,3142,7244,17,30,5,4,35,34,1,0,0,0,8038,8013,2793,5174,15,22,2,7,25,20,5,0,0,0,8038,86,7952,7933,2744,5149,15,22,2,1,19,18,1,0,0,0,4737,3947,790
Pickens County,AL,050,3,6,01,107,2282837059,22578169,19746,9483,+33.2968085,-088.0968780,19746,19514,11110,8211,28,36,1,128,232,227,86,34,7,1,3,9,12,2,2,1,0,0,0,0,70,5,0,0,0,19746,313,19433,19275,11027,8169,28,32,1,18,158,153,5,0,0,0,15145,15016,8914,5966,26,25,1,84,129,127,2,0,0,0,15145,242,14903,14831,8846,5931,26,22,1,5,72,70,2,0,0,0,9483,8012,1471
Pike County,AL,050,3,6,01,109,1740715643,2362806,32899,15267,+31.7987263,-085.9419965,32899,32409,19144,12054,192,654,24,341,490,468,127,149,66,3,26,57,9,4,19,3,0,0,2,2,1,20,2,0,0,32899,730,32169,31727,18887,11990,185,645,6,14,442,423,17,2,0,0,26217,25919,15883,9042,148,601,17,228,298,279,18,1,0,0,26217,475,25742,25464,15716,8998,143,592,6,9,278,261,16,1,0,0,15267,13210,2057
Randolph County,AL,050,3,6,01,111,1503616599,9285288,22913,11982,+33.2964753,-085.4640679,22913,22652,17532,4607,84,55,5,369,261,252,100,95,9,2,30,13,0,0,2,0,0,1,0,0,0,9,0,0,0,22913,649,22264,22035,17280,4604,84,54,5,8,229,222,7,0,0,0,17440,17311,13688,3299,68,43,4,209,129,122,7,0,0,0,17440,372,17068,16954,13538,3297,68,42,4,5,114,109,5,0,0,0,11982,9164,2818
Russell County,AL,050,3,6,01,113,1660545751,15673340,52947,24595,+32.2898113,-085.1869798,52947,51843,28449,22135,219,236,113,691,1104,1018,330,224,157,27,84,66,32,19,45,5,2,9,9,3,6,81,5,0,0,52947,1946,51001,50096,27591,21926,189,223,112,55,905,844,59,2,0,0,39448,38926,22357,15678,162,206,77,446,522,500,21,1,0,0,39448,1195,38253,37811,21817,15557,145,197,76,19,442,424,18,0,0,0,24595,21229,3366
